area_code,area_name,census_geography,all_household,one_pers_all,one_pers_65,one_pers_other,fam_all,fam_65,fam_mar_all,fam_mar_no_ch,fam_mar_ch,fam_mar_non_ch,fam_cohab_all,fam_cohab_no_ch,fam_cohab_ch,fam_cohab_non_ch,fam_lone_all,fam_lone_ch,fam_lone_non_ch,other_hh_all,other_hh_ch,other_hh_stud,other_hh_65,other,one_pers_all_perc,fam_mar_all_perc,fam_cohab_all_perc,fam_lone_all_perc,centroid_x,centroid_y
W00008888,,oa,127,78,39,39,44,12,21,7,9,5,7,6,1,0,4,1,3,5,1,0,1,3,61.4,16.5,5.5,3.1,316148.62600000005,177186.86599999998
W00009197,,oa,196,99,64,35,89,19,42,20,17,5,15,14,1,0,13,10,3,8,2,2,2,2,50.5,21.4,7.7,6.6,315514.5415,178034.0145
W00009116,,oa,119,23,2,21,74,4,38,4,29,5,15,8,6,1,17,13,4,22,5,0,1,16,19.3,31.9,12.6,14.3,317968.2735,174611.3295
W00009195,,oa,136,60,30,30,68,12,40,13,17,10,12,9,3,0,4,3,1,8,2,1,3,2,44.1,29.4,8.8,2.9,315085.8175,178154.541
W00009231,,oa,117,46,32,14,64,8,24,10,10,4,10,4,6,0,22,18,4,7,3,0,2,2,39.3,20.5,8.5,18.8,315647.2825,179008.6605
W00009548,,oa,100,27,15,12,67,11,45,16,21,8,5,2,3,0,6,3,3,6,2,0,0,4,27.0,45.0,5.0,6.0,315517.6155,180739.039
W00009737,,oa,124,36,21,15,84,17,53,18,19,16,8,2,3,3,6,4,2,4,1,0,0,3,29.0,42.7,6.5,4.8,315822.819,179416.6405
W00009640,,oa,139,43,13,30,78,5,31,10,16,5,15,6,8,1,27,18,9,18,5,1,1,11,30.9,22.3,10.8,19.4,319909.07999999996,176537.718
W00008978,,oa,99,34,23,11,59,11,34,19,11,4,6,4,2,0,8,2,6,6,0,0,0,6,34.3,34.3,6.1,8.1,319467.00950000004,182089.7905
W00009186,,oa,105,24,14,10,79,11,56,21,27,8,10,6,4,0,2,1,1,2,1,0,0,1,22.9,53.3,9.5,1.9,314914.2605,177821.2765
W00009100,,oa,132,41,5,36,83,7,39,15,16,8,20,14,6,0,17,11,6,8,2,0,1,5,31.1,29.5,15.2,12.9,316892.024,174750.691
W00008814,,oa,154,72,34,38,72,7,30,3,24,3,5,2,3,0,30,18,12,10,5,0,1,4,46.8,19.5,3.2,19.5,318759.4105,175466.6385
W00008894,,oa,132,37,13,24,85,13,48,13,25,10,16,10,6,0,8,4,4,10,1,1,3,5,28.0,36.4,12.1,6.1,315091.4075,177093.565
W00008893,,oa,148,48,19,29,83,10,47,12,29,6,12,10,1,1,14,11,3,17,6,0,1,10,32.4,31.8,8.1,9.5,314882.983,177004.29700000002
W00009286,,oa,127,56,48,8,63,9,36,12,15,9,11,6,5,0,7,5,2,8,4,0,1,3,44.1,28.3,8.7,5.5,317562.52150000003,181994.959
W00009204,,oa,126,72,26,46,49,6,28,12,13,3,10,5,4,1,5,4,1,5,0,0,1,4,57.1,22.2,7.9,4.0,316062.64300000004,177480.501
W00009205,,oa,129,42,20,22,80,15,50,15,20,15,10,7,3,0,5,2,3,7,2,0,0,5,32.6,38.8,7.8,3.9,315115.8055,177353.75
W00009203,,oa,109,53,12,41,50,6,33,10,16,7,10,7,2,1,1,1,0,6,3,0,0,3,48.6,30.3,9.2,0.9,315261.73199999996,177483.3245
W00009201,,oa,122,30,15,15,85,11,50,16,21,13,13,6,7,0,11,8,3,7,3,0,0,4,24.6,41.0,10.7,9.0,314834.6625,177438.3895
W00009552,,oa,126,56,38,18,62,17,29,12,14,3,7,5,2,0,9,3,6,8,2,0,0,6,44.4,23.0,5.6,7.1,316094.993,180672.699
W00009550,,oa,116,37,28,9,73,24,39,14,18,7,6,3,3,0,4,0,4,6,3,0,2,1,31.9,33.6,5.2,3.4,316020.0815,180815.6925
W00009559,,oa,137,35,9,26,86,2,42,12,24,6,16,9,7,0,26,17,9,16,7,2,1,6,25.6,30.7,11.7,19.0,316921.839,176205.69400000002
W00009468,,oa,178,54,10,44,54,3,27,11,10,6,12,9,3,0,12,7,5,70,3,38,0,29,30.3,15.2,6.7,6.7,318654.2485,177827.495
W00010177,,oa,194,140,54,86,53,14,13,12,1,0,22,21,1,0,4,2,2,1,0,0,0,1,72.2,6.7,11.3,2.1,316978.412,181051.059
W00009199,,oa,121,29,15,14,88,17,62,26,29,7,7,3,3,1,2,1,1,4,2,0,1,1,24.0,51.2,5.8,1.7,314969.4135,177642.776
W00009198,,oa,150,29,18,11,110,15,76,21,44,11,13,7,6,0,6,4,2,11,9,0,0,2,19.3,50.7,8.7,4.0,315643.6355,177572.326
W00009214,,oa,113,28,10,18,74,5,30,10,12,8,10,3,7,0,29,21,8,11,10,0,0,1,24.8,26.5,8.8,25.7,315798.9485,179174.84149999998
W00009218,,oa,116,22,13,9,86,5,43,13,24,6,13,7,5,1,25,14,11,8,2,0,0,6,19.0,37.1,11.2,21.6,315352.002,178619.7045
W00009527,,oa,126,25,18,7,98,19,65,17,33,15,11,8,3,0,3,1,2,3,0,0,0,3,19.8,51.6,8.7,2.4,315339.645,181772.533
W00010126,,oa,43,12,7,5,24,5,10,0,6,4,6,3,2,1,3,1,2,7,2,1,0,4,27.9,23.3,14.0,7.0,316687.22400000005,178484.37050000002
W00009983,,oa,95,39,9,30,41,3,19,7,12,0,9,3,6,0,10,8,2,15,3,4,0,8,41.1,20.0,9.5,10.5,317582.77099999995,175608.752
W00008864,,oa,138,54,14,40,70,3,29,14,11,4,20,15,5,0,18,12,6,14,3,0,0,11,39.1,21.0,14.5,13.0,316494.88300000003,176772.56300000002
W00008870,,oa,134,52,15,37,70,5,41,7,22,12,11,4,5,2,13,7,6,12,4,0,1,7,38.8,30.6,8.2,9.7,315507.8715,176615.9205
W00009537,,oa,110,45,34,11,62,18,33,13,18,2,7,3,4,0,4,2,2,3,0,0,2,1,40.9,30.0,6.4,3.6,315501.82550000004,181267.1825
W00009535,,oa,143,60,51,9,77,25,36,20,8,8,9,5,4,0,7,3,4,6,0,0,2,4,42.0,25.2,6.3,4.9,316391.8895,181723.874
W00009587,,oa,116,44,6,38,60,3,34,14,18,2,15,10,5,0,8,6,2,12,0,0,1,11,37.9,29.3,12.9,6.9,316763.8275,177193.5195
W00009762,,oa,119,20,12,8,90,11,69,21,36,12,4,3,1,0,6,3,3,9,5,0,1,3,16.8,58.0,3.4,5.0,314904.8815,179787.0895
W00009170,,oa,117,29,18,11,82,12,60,12,27,21,6,2,4,0,4,1,3,6,3,0,0,3,24.8,51.3,5.1,3.4,317744.17449999996,180249.00400000002
W00008931,,oa,117,25,8,17,29,0,16,5,5,6,8,7,1,0,5,2,3,63,1,42,0,20,21.4,13.7,6.8,4.3,317914.788,178051.276
W00008794,,oa,189,96,3,93,59,1,27,12,14,1,21,18,3,0,10,8,2,34,2,2,0,30,50.8,14.3,11.1,5.3,319937.177,177469.152
