area_code,area_name,census_geography,all_accommodation,flat_all,flat_commercial,flat_converted,flat_purpose,mobile_home,shared_all,unshared_all,unshared_house,unshared_house_detached,unshared_house_semi,unshared_house_terrace,flat_all_perc,mobile_home_perc,shared_all_perc,unshared_house_perc,whole_detached_perc,whole_semi_perc,whole_terrace_perc,centroid_x,centroid_y
W01001789,Cardiff 023E,lsoa,730,176,15,38,123,0,0,730,554,16,129,409,24.1,0.0,0.0,75.9,2.2,17.7,56.0,314522.84070591454,179376.87057134602
W01001792,Cardiff 005B,lsoa,705,172,3,4,165,0,0,705,533,20,417,96,24.4,0.0,0.0,75.6,2.8,59.1,13.6,317586.08927225583,181060.5024423225
W01001794,Cardiff 001C,lsoa,626,11,0,0,11,0,0,626,615,207,115,293,1.8,0.0,0.0,98.2,33.1,18.4,46.8,317712.5339723969,183125.13116749187
W01001795,Cardiff 002B,lsoa,644,25,1,1,23,2,0,644,617,289,112,216,3.9,0.3,0.0,95.8,44.9,17.4,33.5,316892.93875464424,183112.1987646707
W01001796,Cardiff 002C,lsoa,653,37,0,2,35,0,0,653,616,254,164,198,5.7,0.0,0.0,94.3,38.9,25.1,30.3,317209.97601355927,182840.9703306879
W01001797,Cardiff 005C,lsoa,607,58,2,1,55,0,0,607,549,187,262,100,9.6,0.0,0.0,90.4,30.8,43.2,16.5,317582.2117757669,182370.85211540625
W01001809,Cardiff 017A,lsoa,538,99,0,1,98,0,0,538,439,7,178,254,18.4,0.0,0.0,81.6,1.3,33.1,47.2,319681.907778889,180326.85262021105
W01001810,Cardiff 017B,lsoa,635,125,2,2,121,0,0,635,510,17,104,389,19.7,0.0,0.0,80.3,2.7,16.4,61.3,320191.3922935975,180489.89836612207
W01001813,Cardiff 017D,lsoa,698,277,0,8,269,2,0,698,419,11,65,343,39.7,0.3,0.0,60.0,1.6,9.3,49.1,320072.321371389,180013.54439909806
W01001814,Cardiff 017E,lsoa,672,273,0,1,272,0,0,672,399,8,114,277,40.6,0.0,0.0,59.4,1.2,17.0,41.2,320046.6103454035,179549.89615646677
W01001815,Cardiff 008D,lsoa,511,7,4,0,3,0,0,511,504,129,196,179,1.4,0.0,0.0,98.6,25.2,38.4,35.0,320011.4578494053,181584.97682839242
W01001819,Cardiff 014D,lsoa,912,100,4,5,91,0,0,912,812,563,161,88,11.0,0.0,0.0,89.0,61.7,17.7,9.6,309961.1694630933,182346.64748400394
W01001820,Cardiff 006A,lsoa,508,60,1,5,54,0,0,508,448,172,175,101,11.8,0.0,0.0,88.2,33.9,34.4,19.9,311693.2517174133,183218.34034321114
W01001896,Cardiff 020E,lsoa,628,67,7,10,50,0,0,628,561,51,409,101,10.7,0.0,0.0,89.3,8.1,65.1,16.1,315249.6479761583,180480.3603847506
W01001840,Cardiff 007D,lsoa,755,138,2,7,129,0,0,755,617,297,194,126,18.3,0.0,0.0,81.7,39.3,25.7,16.7,323119.8482272534,181509.22298488198
W01001802,Cardiff 007A,lsoa,684,103,12,5,86,0,0,684,581,44,342,195,15.1,0.0,0.0,84.9,6.4,50.0,28.5,322574.5956320743,181168.9613219585
W01001879,Cardiff 013A,lsoa,817,168,1,0,167,0,0,817,649,79,286,284,20.6,0.0,0.0,79.4,9.7,35.0,34.8,323637.80557883694,180858.03620307395
W01001880,Cardiff 013B,lsoa,573,46,0,2,44,0,2,571,525,59,257,209,8.0,0.0,0.3,91.6,10.3,44.9,36.5,324169.1784868598,180957.53225814574
W01001113,The Vale of Glamorgan 003A,lsoa,913,54,3,16,35,2,0,913,857,530,250,77,5.9,0.2,0.0,93.9,58.1,27.4,8.4,306236.8773483947,177117.80209097796
W01001135,The Vale of Glamorgan 003C,lsoa,600,16,4,4,8,2,0,600,582,391,109,82,2.7,0.3,0.0,97.0,65.2,18.2,13.7,309437.28714040015,172288.8320071897
W01001240,Rhondda Cynon Taf 026C,lsoa,845,46,5,4,37,1,0,845,798,124,371,303,5.4,0.1,0.0,94.4,14.7,43.9,35.9,312664.80712559214,184979.70168993747
W01001872,Cardiff 038B,lsoa,662,153,18,54,81,0,3,659,506,13,16,477,23.1,0.0,0.5,76.4,2.0,2.4,72.1,320101.256454791,176637.50851963987
W01001874,Cardiff 038D,lsoa,723,145,2,17,126,0,0,723,578,28,51,499,20.1,0.0,0.0,79.9,3.9,7.1,69.0,320137.30289849115,175822.17738833692
W01001694,Cardiff 036A,lsoa,878,332,33,151,148,0,20,858,526,30,48,448,37.8,0.0,2.3,59.9,3.4,5.5,51.0,319770.33786633017,176939.30945680017
W01001870,Cardiff 037A,lsoa,580,53,1,27,25,0,0,580,527,23,83,421,9.1,0.0,0.0,90.9,4.0,14.3,72.6,320570.6143402268,176863.15638893892
W01001698,Cardiff 036E,lsoa,896,592,34,241,317,1,6,890,297,15,25,257,66.1,0.1,0.7,33.1,1.7,2.8,28.7,319933.1675215942,177301.0443730184
W01001871,Cardiff 037B,lsoa,679,116,1,3,112,2,2,677,559,38,223,298,17.1,0.3,0.3,82.3,5.6,32.8,43.9,321103.75706321304,176870.4021991125
W01001869,Cardiff 038A,lsoa,623,78,3,48,27,0,0,623,545,11,37,497,12.5,0.0,0.0,87.5,1.8,5.9,79.8,320390.2191841855,177262.7097622887
W01001697,Cardiff 036D,lsoa,762,196,3,71,122,0,0,762,566,16,34,516,25.7,0.0,0.0,74.3,2.1,4.5,67.7,320347.99810449546,177368.79813788252
W01001825,Cardiff 029D,lsoa,774,227,1,90,136,0,6,768,541,26,140,375,29.3,0.0,0.8,69.9,3.4,18.1,48.4,320471.2572158646,178077.523180278
W01001875,Cardiff 037C,lsoa,1140,279,3,2,274,15,2,1138,844,147,365,332,24.5,1.3,0.2,74.0,12.9,32.0,29.1,321300.4592102816,176861.40127526995
W01001828,Cardiff 024D,lsoa,637,59,1,6,52,0,0,637,578,119,383,76,9.3,0.0,0.0,90.7,18.7,60.1,11.9,320299.15894635057,178900.51173020474
W01001868,Cardiff 022D,lsoa,609,77,3,2,72,0,0,609,532,52,416,64,12.6,0.0,0.0,87.4,8.5,68.3,10.5,322010.5197306038,179549.00423104814
W01001883,Cardiff 016C,lsoa,675,173,1,3,169,0,0,675,502,25,262,215,25.6,0.0,0.0,74.4,3.7,38.8,31.9,323115.9145795123,180503.62492457664
