area_code,area_name,census_geography,country_of_birth_all,europe_inc_uk,united_kingdom_channel_iom,england,northern_ireland,scotland,wales,united_kingdom_unspecified,channel_islands_isle_of_man,ireland,other_europe_total,eu_countries_total,germany,lithuania,poland,romania,eu_countries_other,rest_of_europe_total,turkey,europe_other,africa_total,north_africa,central_and_western_africa,nigeria,other_central_and_western_africa_other,south_and_eastern_africa,kenya,south_africa,zimbabwe,south_and_eastern_africa_other,middle_east_and_asia_total,middle_east,iran,middle_east_other,eastern_asia,china,hong_kong,eastern_asia_other,southern_asia,bangladesh,india,pakistan,southern_asia_other,south_east_asia,central_asia,americas_and_the_caribbean_total,north_americas_and_the_caribbean,the_caribbean,united_states_of_america,north_america_other,central_america,south_america,antarctica_and_oceania_total,australia,antarctica_and_oceania_other,country_of_birth_other,uk_total,europe_total,rest_of_world_total,uk_total_perc,europe_total_perc,rest_of_world_total_perc,centroid_x,centroid_y
W00009475,,oa,279,229,177,88,0,3,86,0,1,1,50,46,4,0,18,4,20,4,0,4,13,4,1,1,0,8,0,0,0,8,32,7,5,2,11,7,4,0,13,2,8,3,0,1,0,4,3,0,3,0,0,1,1,1,0,0,177,56,50,63.4,20.1,17.9,319420.70200000005,177690.29200000002
W00009478,,oa,331,309,303,45,2,4,252,0,0,1,5,5,1,0,2,0,2,0,0,0,4,0,2,1,1,2,1,1,0,0,16,0,0,0,0,0,0,0,13,0,9,1,3,3,0,1,1,0,1,0,0,0,1,1,0,0,303,6,22,91.5,1.8,6.6,323009.50049999997,182739.3
W00009479,,oa,284,261,254,27,2,1,224,0,0,2,5,5,0,0,0,0,5,0,0,0,3,2,1,0,1,0,0,0,0,0,19,8,0,8,1,1,0,0,10,1,3,3,3,0,0,1,1,1,0,0,0,0,0,0,0,0,254,7,23,89.4,2.5,8.1,322231.353,182138.4455
W00009711,,oa,359,349,340,60,1,0,279,0,0,2,7,6,1,0,0,0,5,1,1,0,2,1,0,0,0,1,0,0,0,1,6,1,0,1,1,0,0,1,2,0,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,340,10,10,94.7,2.8,2.8,324315.4625,180323.658
W00009190,,oa,319,297,293,38,0,2,253,0,0,1,3,3,0,0,0,0,3,0,0,0,5,0,0,0,0,5,3,1,0,1,11,6,0,6,0,0,0,0,2,0,1,1,0,3,0,5,5,2,2,1,0,0,1,1,0,0,293,4,22,91.8,1.3,6.9,313920.9485,179183.387
W00009236,,oa,329,290,281,17,0,2,262,0,0,0,9,9,1,0,0,0,8,0,0,0,10,0,0,0,0,10,0,0,0,10,24,4,3,1,0,0,0,0,19,12,6,1,0,1,0,5,1,0,0,1,0,4,0,0,0,0,281,9,39,85.4,2.7,11.9,315885.52150000003,178882.391
W00009215,,oa,322,310,308,40,0,1,267,0,0,1,1,1,1,0,0,0,0,0,0,0,6,0,1,0,1,5,0,2,1,2,5,1,0,1,0,0,0,0,3,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,308,2,12,95.7,0.6,3.7,315467.346,179262.8005
W00009217,,oa,296,270,264,16,0,3,245,0,0,2,4,4,0,0,0,0,4,0,0,0,5,1,3,2,1,1,0,0,0,1,21,0,0,0,0,0,0,0,17,9,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,264,6,26,89.2,2.0,8.8,316221.5255,178912.6225
W00009237,,oa,455,408,383,34,0,3,346,0,4,3,18,18,1,0,10,0,7,0,0,0,13,0,7,1,6,6,0,1,4,1,31,0,0,0,1,1,0,0,27,18,6,3,0,3,0,3,3,2,0,1,0,0,0,0,0,0,383,25,47,84.2,5.5,10.3,316485.49399999995,178970.90500000003
W00009733,,oa,295,291,285,29,0,0,256,0,0,2,4,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,285,7,4,96.6,2.4,1.4,316023.961,179429.4915
W00009417,,oa,300,285,276,34,2,6,234,0,1,2,6,6,1,0,0,0,5,0,0,0,3,1,0,0,0,2,1,1,0,0,12,3,0,3,0,0,0,0,9,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,9,15,92.0,3.0,5.0,320230.9005,179034.64299999998
W00008972,,oa,315,278,262,58,0,5,199,0,1,6,9,7,2,0,0,0,5,2,0,2,11,3,3,3,0,5,0,3,0,2,21,10,0,10,4,0,2,2,7,2,1,4,0,0,0,4,4,2,1,1,0,0,1,1,0,0,262,18,37,83.2,5.7,11.7,319046.4355,179866.96600000001
W00009366,,oa,346,324,321,21,0,5,291,4,0,1,2,2,2,0,0,0,0,0,0,0,6,0,5,5,0,1,0,0,0,1,14,6,0,6,2,1,1,0,6,0,6,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,321,3,22,92.8,0.9,6.4,320006.734,179525.19199999998
W00009555,,oa,256,250,245,41,0,2,202,0,0,2,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,1,1,0,0,245,5,6,95.7,2.0,2.3,316044.47849999997,182297.588
W00009315,,oa,273,265,260,24,0,2,234,0,1,0,4,4,0,0,3,0,1,0,0,0,3,0,1,0,1,2,0,0,0,2,5,1,0,1,0,0,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,5,8,95.2,1.8,2.9,321196.158,179751.6625
W00009312,,oa,324,317,304,19,1,0,284,0,0,2,11,11,1,0,7,0,3,0,0,0,4,0,3,1,2,1,0,0,1,0,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,304,13,7,93.8,4.0,2.2,321645.34900000005,179919.6335
W00009287,,oa,284,272,268,45,2,5,216,0,1,1,2,2,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,9,0,0,0,0,0,0,0,9,0,6,3,0,0,0,2,1,0,0,1,0,1,0,0,0,0,268,4,12,94.4,1.4,4.2,318697.2135,182085.19799999997
W00009294,,oa,263,243,238,15,0,0,223,0,0,1,4,3,1,0,0,0,2,1,0,1,4,0,3,0,3,1,0,0,0,1,16,0,0,0,0,0,0,0,5,0,3,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,238,6,20,90.5,2.3,7.6,322103.93799999997,180516.2335
W00009675,,oa,312,301,294,20,0,1,273,0,0,2,5,5,0,0,2,0,3,0,0,0,7,0,0,0,0,7,0,0,6,1,4,0,0,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,294,7,11,94.2,2.2,3.5,322857.42350000003,180171.3785
W00010169,,oa,433,406,397,72,0,3,322,0,0,4,5,5,1,0,0,0,4,0,0,0,5,1,1,0,1,3,0,3,0,0,18,9,1,8,3,3,0,0,2,0,0,2,0,4,0,3,2,0,0,2,1,0,1,1,0,0,397,9,27,91.7,2.1,6.2,320867.426,181611.812
W00009487,,oa,306,287,278,46,2,3,227,0,0,1,8,8,4,0,0,0,4,0,0,0,6,0,0,0,0,6,1,0,0,5,11,5,5,0,5,0,0,5,1,0,1,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,278,9,19,90.8,2.9,6.2,320766.9515,182039.46850000002
W00009086,,oa,381,325,306,94,4,2,206,0,0,2,17,17,1,0,5,0,11,0,0,0,15,0,0,0,0,15,0,1,4,10,37,9,2,7,0,0,0,0,23,3,14,0,6,5,0,4,3,0,3,0,0,1,0,0,0,0,306,19,56,80.3,5.0,14.7,317299.47349999996,178847.957
W00009353,,oa,335,304,303,27,7,0,269,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,5,4,1,0,0,0,0,0,25,4,1,3,0,0,0,0,16,1,15,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,303,1,31,90.4,0.3,9.3,319858.26300000004,180310.3805
W00009604,,oa,278,269,262,20,0,4,237,1,0,0,7,7,1,0,0,0,6,0,0,0,8,0,0,0,0,8,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,262,7,9,94.2,2.5,3.2,321935.198,179120.2145
W00009150,,oa,354,329,320,49,6,3,262,0,1,3,5,3,1,0,0,0,2,2,1,1,2,0,0,0,0,2,1,0,0,1,23,7,0,7,2,2,0,0,13,0,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,320,11,25,90.4,3.1,7.1,317012.6135,179766.878
W00009757,,oa,295,281,275,39,1,2,233,0,0,3,3,2,2,0,0,0,0,1,1,0,2,0,1,0,1,1,0,1,0,0,12,5,0,5,3,0,3,0,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,275,7,14,93.2,2.4,4.7,314791.15449999995,180209.064
W00009313,,oa,205,190,185,17,0,4,164,0,0,1,4,4,1,2,1,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,7,6,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,185,5,15,90.2,2.4,7.3,321468.9895,179732.98700000002
W00009227,,oa,277,267,260,41,2,2,215,0,0,1,6,6,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,4,4,0,0,2,0,2,0,0,0,0,3,1,0,1,0,0,2,0,0,0,0,260,7,10,93.9,2.5,3.6,314946.8025,179346.655
W00009225,,oa,345,336,326,56,1,2,267,0,0,1,9,9,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,0,0,4,0,4,0,0,0,0,3,2,0,0,2,0,1,0,0,0,0,326,10,9,94.5,2.9,2.6,314407.75,179639.6555
W00009220,,oa,312,303,293,20,0,3,270,0,0,0,10,10,0,0,3,0,7,0,0,0,5,0,1,0,1,4,0,0,0,4,3,0,0,0,0,0,0,0,3,1,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,293,10,9,93.9,3.2,2.9,315581.566,178890.7955
W00009410,,oa,317,285,277,59,3,6,209,0,1,0,7,4,0,0,1,0,3,3,0,3,3,0,1,0,1,2,2,0,0,0,26,7,2,5,5,2,3,0,14,1,7,6,0,0,0,3,2,0,2,0,0,1,0,0,0,0,277,11,32,87.4,3.5,10.1,319096.05,179179.3985
W00009734,,oa,258,257,252,39,1,0,212,0,0,3,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,5,1,97.7,1.9,0.4,315507.858,179417.038
W00008975,,oa,253,234,226,59,2,1,164,0,0,1,7,7,0,0,2,0,5,0,0,0,7,1,0,0,0,6,2,3,0,1,9,5,0,5,1,0,0,1,3,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,226,8,19,89.3,3.2,7.5,318341.9895,179620.9595
W00009620,,oa,308,299,290,13,0,1,276,0,0,0,9,9,1,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,0,0,0,0,5,0,5,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,290,9,9,94.2,2.9,2.9,322102.78150000004,179805.54200000002
W00009084,,oa,326,253,233,58,0,0,175,0,0,0,20,16,5,4,4,1,2,4,0,4,11,0,5,2,3,6,5,0,0,1,58,16,0,16,0,0,0,0,15,0,14,1,0,27,0,3,2,0,0,2,0,1,1,0,1,0,233,24,73,71.5,7.4,22.4,317078.571,178948.29200000002
W00009085,,oa,405,347,311,114,3,6,187,1,0,1,35,34,3,2,12,2,15,1,1,0,6,1,1,0,1,4,2,2,0,0,51,4,1,3,4,3,0,1,34,9,17,7,1,9,0,0,0,0,0,0,0,0,1,1,0,0,311,37,58,76.8,9.1,14.3,317397.663,178948.418
W00009602,,oa,293,266,251,21,3,3,224,0,0,0,15,15,0,0,0,3,12,0,0,0,5,1,0,0,0,4,1,2,0,1,21,2,1,1,2,1,1,0,6,6,0,0,0,11,0,1,1,0,1,0,0,0,0,0,0,0,251,15,27,85.7,5.1,9.2,321528.72,179312.925
W00009603,,oa,338,311,306,32,0,6,268,0,0,0,5,5,1,0,1,0,3,0,0,0,12,1,5,0,5,6,1,2,0,3,15,2,0,2,2,0,2,0,11,1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,306,5,27,90.5,1.5,8.0,322123.18799999997,179269.71850000002
W00009601,,oa,312,303,299,24,0,2,273,0,0,1,3,3,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,6,0,0,0,2,0,1,1,4,0,4,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,299,4,9,95.8,1.3,2.9,321874.9815,179385.83
W00009512,,oa,392,381,366,107,0,6,253,0,0,5,10,10,3,0,2,0,5,0,0,0,2,2,0,0,0,0,0,0,0,0,8,1,0,1,3,3,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,366,15,11,93.4,3.8,2.8,313333.9355,180287.519
W00009748,,oa,216,208,200,41,0,3,156,0,0,2,6,6,1,0,1,0,4,0,0,0,6,0,0,0,0,6,1,1,0,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,200,8,8,92.6,3.7,3.7,314886.065,180581.827
W00009152,,oa,349,318,313,38,0,0,275,0,0,1,4,2,0,0,0,0,2,2,1,1,2,0,0,0,0,2,0,0,0,2,25,4,0,4,4,2,1,1,8,1,7,0,0,9,0,3,3,0,3,0,0,0,1,1,0,0,313,7,31,89.7,2.0,8.9,317066.6755,179389.47999999998
W00009746,,oa,329,327,314,53,1,5,255,0,0,5,8,8,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,13,2,95.4,4.0,0.6,315096.591,180775.44150000002
W00009525,,oa,299,293,287,59,1,2,225,0,0,1,5,5,2,0,0,0,3,0,0,0,2,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,3,2,0,1,0,0,0,0,0,0,287,6,6,96.0,2.0,2.0,314949.35699999996,181992.934
W00009261,,oa,392,370,363,64,0,5,294,0,0,1,6,5,1,1,0,0,3,1,0,1,9,1,0,0,0,8,0,2,2,4,8,2,0,2,2,0,1,1,2,0,1,0,1,2,0,3,3,1,2,0,0,0,2,1,1,0,363,8,22,92.6,2.0,5.6,317929.598,180811.8605
W00009254,,oa,297,287,283,56,3,10,214,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,2,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,1,0,283,4,10,95.3,1.3,3.4,317645.2175,181713.38400000002
W00009416,,oa,354,309,298,49,2,5,242,0,0,2,9,6,2,0,0,0,4,3,1,2,4,4,0,0,0,0,0,0,0,0,39,7,6,1,4,2,2,0,20,5,4,11,0,8,0,2,2,0,2,0,0,0,0,0,0,0,298,14,45,84.2,4.0,12.7,318938.45149999997,178910.388
W00008949,,oa,314,301,293,58,5,9,221,0,0,1,7,6,0,0,0,0,6,1,0,1,2,0,0,0,0,2,0,1,0,1,8,1,1,0,0,0,0,0,3,0,3,0,0,3,1,0,0,0,0,0,0,0,3,1,2,0,293,9,13,93.3,2.9,4.1,319187.792,181416.3365
W00009232,,oa,361,338,336,44,0,1,291,0,0,1,1,1,0,0,0,0,1,0,0,0,6,4,0,0,0,2,0,2,0,0,14,2,0,2,5,3,2,0,7,3,4,0,0,0,0,3,2,1,0,1,0,1,0,0,0,0,336,2,23,93.1,0.6,6.4,316163.3375,179099.412
W00009542,,oa,244,242,237,53,5,2,177,0,1,1,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,237,5,2,97.1,2.0,0.8,315658.5245,181151.58899999998
W00009532,,oa,309,298,293,59,1,3,230,0,1,1,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,0,0,2,0,2,0,0,3,0,4,2,0,0,2,0,2,1,1,0,0,293,5,11,94.8,1.6,3.6,315818.976,181703.6555
W00009530,,oa,303,297,290,39,0,1,250,0,1,2,4,3,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,290,8,6,95.7,2.6,2.0,314841.79850000003,181707.37050000002
W00009163,,oa,325,320,315,49,0,3,263,0,0,2,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,315,5,5,96.9,1.5,1.5,317585.7895,180511.27649999998
W00009507,,oa,315,291,288,65,1,8,214,0,0,2,1,0,0,0,0,0,0,1,1,0,10,3,0,0,0,7,0,4,0,3,14,5,2,3,2,0,0,2,4,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,288,4,24,91.4,1.3,7.6,312544.78500000003,180926.303
W00009509,,oa,308,289,285,50,6,6,223,0,0,1,3,3,0,0,0,0,3,0,0,0,6,2,0,0,0,4,0,1,1,2,9,0,0,0,2,0,2,0,4,1,1,2,0,3,0,3,2,1,1,0,0,1,1,1,0,0,285,4,19,92.5,1.3,6.2,311920.32550000004,181013.9095
W00009767,,oa,316,309,308,66,0,4,238,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,1,0,0,1,1,0,3,3,0,0,308,1,7,97.5,0.3,2.2,314690.941,179790.1615
W00010128,,oa,813,734,685,440,8,10,227,0,4,9,36,32,5,0,2,0,25,4,0,4,17,0,3,3,0,14,5,2,3,4,60,9,6,3,15,3,10,2,22,3,5,7,7,13,1,2,2,0,2,0,0,0,0,0,0,0,685,53,79,84.3,6.5,9.7,319260.9915,179066.6665
W00009171,,oa,484,448,430,84,2,3,341,0,0,5,13,13,6,0,0,0,7,0,0,0,4,1,0,0,0,3,0,0,1,2,32,8,1,7,0,0,0,0,18,3,12,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,430,18,36,88.8,3.7,7.4,316501.704,180417.01650000003
W00009516,,oa,477,453,437,89,0,12,334,2,0,3,13,13,4,0,0,0,9,0,0,0,2,0,0,0,0,2,0,0,0,2,21,0,0,0,6,3,3,0,15,0,14,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,437,16,24,91.6,3.4,5.0,312023.4105,181460.03850000002
W00009644,,oa,206,196,173,30,0,3,140,0,0,4,19,19,2,2,8,0,7,0,0,0,4,0,4,1,3,0,0,0,0,0,6,1,0,1,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,173,23,10,84.0,11.2,4.9,319614.5795,176384.414
W00009599,,oa,283,207,174,44,0,5,125,0,0,8,25,25,0,0,8,0,17,0,0,0,21,1,6,4,2,14,0,2,0,12,49,10,2,8,0,0,0,0,37,13,17,5,2,1,1,3,2,2,0,0,0,1,3,2,1,0,174,33,76,61.5,11.7,26.9,317561.9675,176487.4805
W00010201,,oa,226,186,166,53,1,3,109,0,0,2,18,15,2,0,6,1,6,3,0,3,12,4,7,6,1,1,0,0,0,1,22,3,0,3,3,3,0,0,15,0,15,0,0,1,0,4,4,1,0,3,0,0,2,2,0,0,166,23,40,73.5,10.2,17.7,318747.40650000004,174831.487
W00005834,,oa,236,219,213,27,0,1,185,0,0,0,6,3,2,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,3,0,0,9,0,5,5,0,4,1,0,0,0,0,0,0,213,9,17,90.3,3.8,7.2,316930.217,173226.2265
W00009560,,oa,451,298,241,48,1,9,183,0,1,5,51,48,2,0,21,6,19,3,0,3,20,4,10,2,8,6,0,0,0,6,126,23,0,23,3,1,2,0,97,33,31,23,10,3,0,7,5,3,2,0,0,2,0,0,0,0,241,60,153,53.4,13.3,33.9,317368.4805,176351.94150000002
W00009577,,oa,256,239,216,66,2,4,144,0,0,2,21,18,4,0,3,0,11,3,1,2,5,0,1,0,1,4,0,2,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,2,0,2,0,0,0,8,5,3,0,216,26,17,84.4,10.2,6.6,316824.60750000004,177366.2095
W00010204,,oa,215,184,171,43,1,3,124,0,1,1,11,11,2,0,4,0,5,0,0,0,3,0,0,0,0,3,1,1,0,1,24,7,1,6,3,2,1,0,9,0,9,0,0,1,4,2,2,0,2,0,0,0,2,2,0,0,171,13,31,79.5,6.0,14.4,318674.313,174838.92200000002
W00009292,,oa,336,329,319,79,0,3,237,0,0,3,7,7,2,0,1,0,4,0,0,0,2,0,0,0,0,2,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,2,1,0,1,0,2,0,0,0,0,319,10,7,94.9,3.0,2.1,318053.4255,182042.44199999998
W00009291,,oa,232,228,217,30,0,3,184,0,0,2,9,8,0,0,4,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,1,0,0,0,0,0,0,0,217,12,4,93.5,5.2,1.7,317469.57149999996,182017.7145
W00009256,,oa,317,309,303,42,1,3,257,0,0,0,6,5,0,0,0,0,5,1,1,0,2,1,1,1,0,0,0,0,0,0,5,1,0,1,0,0,0,0,4,0,0,1,3,0,0,1,1,0,1,0,0,0,0,0,0,0,303,7,8,95.6,2.2,2.5,318213.9915,181472.7125
W00009075,,oa,364,322,311,145,4,4,158,0,0,2,9,8,1,0,0,0,7,1,0,1,12,0,0,0,0,12,2,7,0,3,23,4,2,2,5,2,2,1,4,0,1,1,2,10,0,4,3,1,1,1,0,1,3,2,1,0,311,12,42,85.4,3.3,11.5,317422.759,178650.1655
W00010190,,oa,352,262,254,51,1,1,201,0,0,1,7,7,0,0,4,0,3,0,0,0,7,2,1,0,1,4,0,1,2,1,81,34,0,34,6,2,0,4,40,0,33,3,4,1,0,1,1,0,1,0,0,0,1,1,0,0,254,8,90,72.2,2.3,25.6,316993.3625,180626.75449999998
W00009125,,oa,375,293,269,35,1,1,232,0,0,1,23,16,3,1,3,0,9,7,0,7,21,6,2,0,2,13,4,0,0,9,55,7,2,5,1,1,0,0,41,22,4,9,6,6,0,6,4,3,0,1,0,2,0,0,0,0,269,31,82,71.7,8.3,21.9,317352.2955,175643.93050000002
W00009246,,oa,366,332,322,56,0,6,260,0,0,2,8,7,1,0,1,0,5,1,1,0,10,5,5,3,2,0,0,0,0,0,23,14,1,13,3,1,1,1,6,0,6,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,322,11,34,88.0,3.0,9.3,317330.0675,182998.8175
W00009146,,oa,340,319,307,70,2,2,233,0,0,1,11,8,1,0,2,3,2,3,0,3,2,0,0,0,0,2,1,0,0,1,15,0,0,0,1,1,0,0,13,0,5,3,5,1,0,3,2,1,1,0,0,1,1,1,0,0,307,15,21,90.3,4.4,6.2,317757.3015,179848.4075
W00009149,,oa,356,344,337,50,0,2,285,0,0,1,6,5,0,0,1,0,4,1,0,1,2,0,1,0,1,1,0,1,0,0,8,0,0,0,0,0,0,0,5,2,1,2,0,3,0,2,1,1,0,0,0,1,0,0,0,0,337,8,12,94.7,2.2,3.4,317077.177,179856.188
W00008980,,oa,289,278,271,57,0,4,210,0,0,2,5,5,1,0,0,0,4,0,0,0,3,3,0,0,0,0,0,0,0,0,6,3,2,1,0,0,0,0,1,0,1,0,0,2,0,1,1,0,1,0,0,0,1,1,0,0,271,7,11,93.8,2.4,3.8,319177.9925,181952.4075
W00009241,,oa,403,390,373,27,0,0,346,0,0,1,16,16,1,0,4,0,11,0,0,0,4,0,1,1,0,3,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,6,2,4,0,373,17,13,92.6,4.2,3.2,317491.978,181022.50699999998
W00009242,,oa,308,293,289,51,1,2,235,0,0,0,4,4,2,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,14,2,2,0,5,0,0,5,6,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,289,4,15,93.8,1.3,4.9,317013.251,183488.522
W00009437,,oa,499,386,346,175,3,4,163,1,1,5,34,33,4,2,3,1,23,1,0,1,12,4,1,1,0,7,1,2,4,0,97,18,4,14,21,15,0,6,49,0,41,6,2,9,0,4,2,1,1,0,0,2,0,0,0,0,346,41,113,69.3,8.2,22.6,318787.445,177251.71000000002
W00009431,,oa,237,216,183,79,2,2,100,0,1,5,27,25,2,0,1,1,21,2,0,2,0,0,0,0,0,0,0,0,0,0,19,1,0,1,7,3,3,1,5,0,5,0,0,6,0,2,1,0,1,0,0,1,0,0,0,0,183,35,21,77.2,14.8,8.9,319127.426,177548.99550000002
W00009111,,oa,355,299,292,41,1,2,248,0,0,0,7,7,3,0,1,0,3,0,0,0,7,1,2,0,2,4,0,1,0,3,43,12,0,12,0,0,0,0,29,9,8,11,1,2,0,6,6,3,2,1,0,0,0,0,0,0,292,7,56,82.3,2.0,15.8,318146.36100000003,174804.4225
W00010145,,oa,165,158,146,47,0,0,99,0,0,1,11,11,1,0,2,1,7,0,0,0,1,0,1,0,1,0,0,0,0,0,6,3,0,3,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,146,12,7,88.5,7.3,4.2,318086.105,173046.0235
W00008781,,oa,442,319,272,74,1,2,195,0,2,1,44,39,4,3,6,0,26,5,0,5,30,3,8,2,6,19,0,1,3,15,83,14,4,10,16,16,0,0,43,2,33,3,5,10,0,8,6,1,4,1,0,2,2,2,0,0,272,52,123,61.5,11.8,27.8,319565.704,176942.5165
W00009697,,oa,300,282,269,24,0,3,242,0,0,2,11,10,3,0,5,0,2,1,0,1,6,1,0,0,0,5,0,0,1,4,12,0,0,0,0,0,0,0,12,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,269,14,18,89.7,4.7,6.0,323833.8075,181008.1055
W00009700,,oa,286,274,263,24,2,3,234,0,0,0,11,11,1,0,8,0,2,0,0,0,4,2,1,1,0,1,0,0,0,1,7,1,1,0,0,0,0,0,6,0,1,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,263,11,12,92.0,3.8,4.2,323859.5175,180822.33000000002
W00010174,,oa,250,212,212,41,1,2,168,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,2,1,1,3,1,0,0,2,26,1,1,0,11,0,7,4,8,0,8,0,0,6,0,2,0,0,0,0,0,2,2,2,0,0,212,0,38,84.8,0.0,15.2,321665.2,182140.5945
W00009296,,oa,260,248,241,13,0,2,226,0,0,1,6,5,3,0,0,0,2,1,0,1,3,1,0,0,0,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,6,4,2,0,0,0,0,0,0,0,241,8,12,92.7,3.1,4.6,322164.6615,181049.67349999998
W00009297,,oa,348,340,330,17,1,0,312,0,0,4,6,6,1,0,3,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,1,0,0,0,0,1,0,2,2,0,0,330,10,8,94.8,2.9,2.3,321888.5,180954.887
W00009293,,oa,381,361,347,25,0,0,322,0,1,0,13,12,2,0,8,0,2,1,0,1,10,3,7,2,5,0,0,0,0,0,9,4,1,3,0,0,0,0,2,0,2,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,347,15,20,91.1,3.9,5.2,321671.912,181024.6805
