area_code,area_name,census_geography,country_of_birth_all,europe_inc_uk,united_kingdom_channel_iom,england,northern_ireland,scotland,wales,united_kingdom_unspecified,channel_islands_isle_of_man,ireland,other_europe_total,eu_countries_total,germany,lithuania,poland,romania,eu_countries_other,rest_of_europe_total,turkey,europe_other,africa_total,north_africa,central_and_western_africa,nigeria,other_central_and_western_africa_other,south_and_eastern_africa,kenya,south_africa,zimbabwe,south_and_eastern_africa_other,middle_east_and_asia_total,middle_east,iran,middle_east_other,eastern_asia,china,hong_kong,eastern_asia_other,southern_asia,bangladesh,india,pakistan,southern_asia_other,south_east_asia,central_asia,americas_and_the_caribbean_total,north_americas_and_the_caribbean,the_caribbean,united_states_of_america,north_america_other,central_america,south_america,antarctica_and_oceania_total,australia,antarctica_and_oceania_other,country_of_birth_other,uk_total,europe_total,rest_of_world_total,uk_total_perc,europe_total_perc,rest_of_world_total_perc,centroid_x,centroid_y
W02000369,Cardiff 003,msoa,7968,7253,7021,1225,31,71,5690,4,2,34,196,185,26,2,47,5,105,11,4,7,119,34,31,22,9,54,10,19,6,19,533,182,31,151,96,21,41,34,213,7,159,33,14,42,0,55,37,8,17,12,3,15,8,7,1,0,7021,243,715,88.1,3.0,9.0,321946.49976866436,183085.80415493637
W02000399,Cardiff 033,msoa,10087,8494,7474,2780,53,86,4544,11,11,95,914,850,77,19,276,18,460,64,9,55,299,91,75,39,36,133,16,26,20,71,1149,235,70,165,217,150,44,23,566,84,337,119,26,130,1,110,78,18,35,25,12,20,35,28,7,0,7474,1084,1593,74.1,10.7,15.8,319276.1774547001,177295.50443569018
W02000402,Cardiff 036,msoa,10371,8648,7683,1981,39,71,5587,5,11,80,874,790,49,27,253,11,450,84,12,72,517,112,127,54,73,278,13,22,24,219,1091,324,97,227,178,115,48,15,452,100,173,101,78,135,2,95,67,23,25,19,9,19,20,15,5,0,7683,1049,1723,74.1,10.1,16.6,319762.9575245634,176950.699963194
W02000396,Cardiff 030,msoa,8079,6870,6219,2446,46,69,3657,1,12,84,555,519,78,5,146,20,270,36,7,29,166,37,34,18,16,95,20,20,11,44,943,147,27,120,111,73,23,15,617,143,271,182,21,68,0,77,61,14,28,19,3,13,23,15,8,0,6219,687,1209,77.0,8.5,15.0,318867.44077411183,178257.26712803706
W02000395,Cardiff 029,msoa,6322,5697,5365,1337,15,67,3941,5,9,59,264,237,29,4,45,6,153,27,10,17,130,21,34,20,14,75,17,16,7,35,434,87,51,36,54,32,21,1,250,64,95,80,11,41,2,48,40,18,15,7,4,4,13,8,5,0,5365,359,625,84.9,5.7,9.9,320227.0097875482,178355.99962600775
W02000390,Cardiff 024,msoa,6335,5824,5587,1422,32,70,4063,0,8,54,175,156,20,6,17,0,113,19,2,17,74,11,12,6,6,51,23,8,4,16,401,105,39,66,47,17,23,7,203,26,72,92,13,45,1,32,21,6,12,3,2,9,4,1,3,0,5587,256,511,88.2,4.0,8.1,319795.8285386419,178955.58785246368
W02000374,Cardiff 008,msoa,5683,5294,5136,1024,24,76,4005,7,1,28,129,122,24,1,9,2,86,7,1,6,66,20,20,16,4,26,2,8,3,13,272,100,39,61,34,15,16,3,113,9,50,49,5,24,1,36,30,9,13,8,2,4,15,11,4,0,5136,165,389,90.4,2.9,6.8,319229.36908083636,181349.99125136307
W02000412,Cardiff 046,msoa,6816,5687,5293,666,7,46,4572,2,2,40,352,310,18,13,105,4,170,42,20,22,355,71,40,15,25,244,20,14,13,197,712,150,25,125,64,45,16,3,447,97,107,198,45,51,0,55,51,26,19,6,1,3,7,6,1,0,5293,436,1129,77.7,6.4,16.6,317410.07679263654,174997.84924464396
W02000422,Cardiff 048,msoa,6043,5202,4694,1495,41,89,3066,3,12,46,450,395,41,12,116,29,197,55,7,48,223,27,55,38,17,141,13,48,15,65,483,116,23,93,98,57,15,26,217,13,168,10,26,52,0,101,76,16,36,24,7,18,34,25,9,0,4694,563,841,77.7,9.3,13.9,319494.12760848907,170171.27437436898
W02000391,Cardiff 025,msoa,8790,7616,7159,3065,73,60,3957,4,18,57,382,359,50,14,55,11,229,23,6,17,216,34,49,35,14,133,36,24,13,60,869,127,32,95,145,96,28,21,402,55,237,82,28,182,13,62,51,7,25,19,1,10,27,15,12,0,7159,480,1174,81.4,5.5,13.4,317053.523163438,178608.11445396586
