area_code,area_name,census_geography,all_residents,area_ha,density,centroid_x,centroid_y
W02000407,Cardiff 041,msoa,6406,180.87,35.4,314486.2806574489,176231.06466606655
W02000242,The Vale of Glamorgan 006,msoa,7799,1959.82,4,314669.93862747983,172267.6511891968
W02000389,Cardiff 023,msoa,8344,199,41.9,315420.8362349494,179063.82508542857
W02000372,Cardiff 006,msoa,7613,695.38,10.9,312376.4501658448,181867.14267800216
W02000380,Cardiff 014,msoa,7108,2659.68,2.7,310168.7783747446,180058.52360947695
W02000409,Cardiff 043,msoa,5886,153.48,38.4,312298.2939946976,175499.46115497436
W02000411,Cardiff 045,msoa,6454,151.09,42.7,312929.362842845,175344.27200916177
W02000366,Newport 020,msoa,8167,4701,1.7,326833.09589914547,184132.50562584517
W02000377,Cardiff 011,msoa,7125,767.23,9.3,324086.03961420053,179997.14018928944
W01001945,Cardiff 048D,lsoa,1303,32.29,40.4,317985.240791411,173170.06166257316
W01001762,Cardiff 046D,lsoa,1745,16.42,106.3,317847.6588320238,174330.72231915547
W01001761,Cardiff 046C,lsoa,1790,15.51,115.4,317770.376610388,174807.87490715488
W01001760,Cardiff 046B,lsoa,1693,19.8,85.5,318271.7779509862,174597.32094699456
W01001768,Cardiff 044E,lsoa,1691,9.85,171.7,317795.73532268766,175114.46946316413
W01001765,Cardiff 044B,lsoa,1418,12.24,115.8,318034.9700517446,175236.83380225793
W01001944,Cardiff 048C,lsoa,1027,18.23,56.3,319172.73353598046,175360.28469841514
W01001941,Cardiff 032G,lsoa,1099,25.41,43.3,318370.0264991199,176122.04859170687
W01001922,Cardiff 032E,lsoa,1976,12.53,157.7,318441.67343972024,177174.89746943806
W01001835,Cardiff 033F,lsoa,1622,26.21,61.9,319163.1064928849,176989.70806852786
W01001722,Cardiff 028D,lsoa,1571,8.91,176.3,317994.5730386287,177950.67752156605
W01001832,Cardiff 033C,lsoa,1787,12.94,138.1,318822.75299932214,177364.13178028178
W01001829,Cardiff 033A,lsoa,1807,13.39,135,318952.3067351652,177576.1399080316
W01001720,Cardiff 028C,lsoa,1892,13.36,141.6,318311.6762975676,177957.33048299738
W01001718,Cardiff 028A,lsoa,1680,10.54,159.4,318292.06895463704,178205.4464774337
W01001726,Cardiff 028E,lsoa,1715,43.31,39.6,317987.79620204493,178643.3277225744
W01001732,Cardiff 019A,lsoa,1591,44.44,35.8,318582.2438484572,180596.2325995843
W01001863,Cardiff 022A,lsoa,1564,42.76,36.6,322043.57605008455,178872.9684212532
W01001864,Cardiff 022B,lsoa,1505,28.45,52.9,321492.14911038417,179362.10779155957
W01001816,Cardiff 009B,lsoa,2625,52.7,49.8,320919.38247148704,181428.06049558803
W01001951,Cardiff 049E,lsoa,1016,38.12,26.7,319130.1531423386,175914.43031953776
W01001952,Cardiff 049F,lsoa,1238,55.73,22.2,318418.24622610374,175452.54005560747
W01001711,Cardiff 040C,lsoa,1632,110.27,14.8,316203.69648416643,175555.5168494717
