area_code,area_name,census_geography,all_families,no_children,one_child_under_4,one_child_5_to_11,one_child_12_to_18,two_children_under_4,two_children_5_to_11,two_children_12_to_18,three_children_under_4,three_children_5_to_11,three_children_12_to_18,one_child_all,two_children_all,three_children_all,one_child_all_perc,two_children_all_perc,three_children_all_perc,centroid_x,centroid_y
W01001718,Cardiff 028A,lsoa,188,105,24,10,12,10,8,5,12,2,0,46,23,14,24.5,12.2,7.4,318292.06895463704,178205.4464774337
W01001726,Cardiff 028E,lsoa,174,120,12,5,8,6,3,6,7,7,0,25,15,14,14.4,8.6,8.0,317987.79620204493,178643.3277225744
W01001732,Cardiff 019A,lsoa,466,268,13,13,43,42,31,25,11,15,5,69,98,31,14.8,21.0,6.7,318582.2438484572,180596.2325995843
W01001863,Cardiff 022A,lsoa,455,270,23,28,32,26,24,24,12,14,2,83,74,28,18.2,16.3,6.2,322043.57605008455,178872.9684212532
W01001864,Cardiff 022B,lsoa,458,295,26,14,40,29,21,15,7,8,3,80,65,18,17.5,14.2,3.9,321492.14911038417,179362.10779155957
W01001816,Cardiff 009B,lsoa,724,307,127,54,50,61,36,17,51,13,8,231,114,72,31.9,15.7,9.9,320919.38247148704,181428.06049558803
W01001951,Cardiff 049E,lsoa,228,159,33,3,6,14,4,1,4,4,0,42,19,8,18.4,8.3,3.5,319130.1531423386,175914.43031953776
W01001952,Cardiff 049F,lsoa,246,178,27,6,5,8,5,0,8,9,0,38,13,17,15.4,5.3,6.9,318418.24622610374,175452.54005560747
W01001711,Cardiff 040C,lsoa,462,269,37,26,27,36,18,7,22,20,0,90,61,42,19.5,13.2,9.1,316203.69648416643,175555.5168494717
W01001716,Cardiff 035C,lsoa,360,185,36,20,42,31,19,11,13,3,0,98,61,16,27.2,16.9,4.4,314968.5154869864,177004.39911161043
W01001709,Cardiff 040A,lsoa,496,263,32,27,40,36,35,11,31,20,1,99,82,52,20.0,16.5,10.5,315587.4100512841,176385.62841007166
W01001714,Cardiff 035A,lsoa,427,224,35,9,34,35,36,25,13,14,2,78,96,29,18.3,22.5,6.8,315450.4520412459,176941.41832862524
W01001782,Cardiff 026D,lsoa,429,260,16,14,42,27,32,16,15,7,0,72,75,22,16.8,17.5,5.1,315011.87099834334,177563.36343797957
W01001781,Cardiff 026C,lsoa,442,262,24,18,25,27,35,21,14,11,5,67,83,30,15.2,18.8,6.8,315697.5290266145,177869.63622136708
W01001786,Cardiff 023B,lsoa,451,242,27,28,39,30,34,14,20,17,0,94,78,37,20.8,17.3,8.2,315211.3505782571,178771.97737299945
W01001785,Cardiff 023A,lsoa,336,154,26,20,41,20,14,16,28,12,5,87,50,45,25.9,14.9,13.4,315711.8426125762,179035.13922929703
W01001889,Cardiff 020B,lsoa,438,280,25,17,32,24,30,12,9,7,2,74,66,18,16.9,15.1,4.1,315846.33175113495,180024.07937946572
W01001852,Cardiff 004B,lsoa,553,331,21,12,50,42,40,28,15,10,4,83,110,29,15.0,19.9,5.2,315557.37112023454,183003.6531699536
W01001104,The Vale of Glamorgan 004E,lsoa,613,384,35,23,61,39,31,19,11,8,2,119,89,21,19.4,14.5,3.4,316707.5554207408,173032.5119750009
W01001710,Cardiff 040B,lsoa,407,229,46,14,27,29,29,9,9,14,1,87,67,24,21.4,16.5,5.9,316102.42249586864,176511.7835085576
W01001717,Cardiff 035D,lsoa,430,258,43,25,31,29,13,10,13,6,2,99,52,21,23.0,12.1,4.9,315852.5780742257,176971.18944461693
W01001712,Cardiff 040D,lsoa,354,209,32,16,22,33,20,6,10,6,0,70,59,16,19.8,16.7,4.5,316361.20647613064,176748.51056765593
W01001715,Cardiff 035B,lsoa,402,246,30,12,34,21,24,12,14,8,1,76,57,23,18.9,14.2,5.7,316012.94367676566,177112.17626137784
W01001858,Cardiff 034A,lsoa,396,258,26,12,29,30,17,9,3,11,1,67,56,15,16.9,14.1,3.8,316582.9060015113,177629.86517420766
W01001788,Cardiff 023D,lsoa,357,164,34,18,41,26,21,14,23,15,1,93,61,39,26.1,17.1,10.9,316065.8039755076,178574.56730447107
