A,B,C,D,E
18316217|Scott Memorial|03170245|318549|179298|1||osgb1000000277479798|2|5801151|3|84.2||||South Glamorgan|CF23|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
18316091|Batchelor's Monument|03170245|318398|176278|1||osgb1000000277396111|4|5803284|3|3.6||||South Glamorgan|CF10|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
18316026|Monument|03170245|315472|178062|1|10023542877|osgb1000002487082745|3|5801926|3|7.6||||South Glamorgan|CF5|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
18316057|Monument|03170245|318362|176820|1||osgb1000000277388589|2|5803646|3|16.6||||South Glamorgan|CF10|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
18316221|Monument|03170245|318593|175791|1||osgb1000000277370779|5|5803645|3|12.9||||South Glamorgan|CF10|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
18317035|Memorial|03170245|321950|179268|1||osgb5000005194069062|1|5800111|3|15.8||||South Glamorgan|CF3|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
18315922|Cardiff Castle and Remains of Roman Fort|03170240|317961|176615|2||Not Assigned|0|5803646|3|163.4||||South Glamorgan|CF10|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
16433062|Bishops Road Medical Centre|05280369|315496.1|179894.6|1|100100892823|osgb1000027084130|8|5800146|1|33.7|1|Bishop's Road|Whitchurch, Cardiff|South Glamorgan|CF14 1LT|Caerdydd - Cardiff|02920522455|||||Wilmington Healthcare Ltd|2024-12-01,,,
16433071|Willowbrook Surgery|05280369|324376|181207|1|100100898759|osgb1000027396957|4|5803693|1|60.8|5|Strathy Road|Trowbridge, Cardiff|South Glamorgan|CF3 0SH|Caerdydd - Cardiff|02920360555|||||Wilmington Healthcare Ltd|2024-12-01,,,
16433074|Meddygfa Canna Surgery|05280369|316901.7|176594.2|1|10090717471|osgb1000002487063292|5|5802187|1|57.5|27|Wyndham Crescent|Pontcanna, Cardiff|South Glamorgan|CF11 9EE|Caerdydd - Cardiff|02920390722|||||Wilmington Healthcare Ltd|2024-12-01,,,
16433077|North Road Medical Practice|05280369|317200|178551|1|100100893220|osgb1000027180418|3|5801470|1|17.9|182|North Road|Gabalfa, Cardiff|South Glamorgan|CF14 3XQ|Caerdydd - Cardiff|02920619188|||||Wilmington Healthcare Ltd|2024-12-01,,,
