area_code,area_name,census_geography,all_qualifications,no_qualifications,level1,level2,level3,level4,apprenticeship,other,no_qualifications_perc,level1_perc,level2_perc,level3_perc,level4_perc,centroid_x,centroid_y
W00009033,,oa,246,89,41,47,20,24,11,14,36.2,16.7,19.1,8.1,9.8,312975.6225,177676.4865
W00009006,,oa,208,85,43,27,15,20,9,9,40.9,20.7,13.0,7.2,9.6,312670.353,176291.6575
W00009000,,oa,251,133,29,24,25,20,10,10,53.0,11.6,9.6,10.0,8.0,313720.244,176723.9125
W00009505,,oa,207,17,21,25,22,112,6,4,8.2,10.1,12.1,10.6,54.1,312806.782,180996.674
W00009508,,oa,275,41,36,49,31,100,11,7,14.9,13.1,17.8,11.3,36.4,312227.14,181067.6885
W00008846,,oa,172,64,29,25,16,18,8,12,37.2,16.9,14.5,9.3,10.5,313231.9045,175537.213
W00008845,,oa,245,98,41,39,18,24,13,12,40.0,16.7,15.9,7.3,9.8,313612.65,175504.6085
W00008848,,oa,228,111,42,41,8,18,3,5,48.7,18.4,18.0,3.5,7.9,313664.1985,175294.65850000002
W00008849,,oa,204,71,46,44,14,12,6,11,34.8,22.5,21.6,6.9,5.9,312634.8275,175286.12
W00009014,,oa,239,131,36,19,20,17,2,14,54.8,15.1,7.9,8.4,7.1,313132.5,176185.5685
W00009019,,oa,195,85,42,24,15,15,6,8,43.6,21.5,12.3,7.7,7.7,312411.12899999996,176031.765
W00009012,,oa,193,90,32,25,7,18,8,13,46.6,16.6,13.0,3.6,9.3,313790.43799999997,176392.779
W00010221,,oa,236,39,14,44,23,99,10,7,16.5,5.9,18.6,9.7,41.9,311776.88,177055
W00009510,,oa,259,21,19,39,24,149,2,5,8.1,7.3,15.1,9.3,57.5,312400.086,180711.3625
W00010146,,oa,211,39,22,26,18,95,1,10,18.5,10.4,12.3,8.5,45.0,320976.408,177933.314
W00010180,,oa,256,25,30,25,26,125,5,20,9.8,11.7,9.8,10.2,48.8,321306.0425,178000.0015
W00010175,,oa,190,41,32,23,28,56,5,5,21.6,16.8,12.1,14.7,29.5,321124.9805,181457.12800000003
W00008599,,oa,283,14,38,49,34,132,9,7,4.9,13.4,17.3,12.0,46.6,325381.52650000004,182011.4945
W00010225,,oa,199,13,30,25,22,98,4,7,6.5,15.1,12.6,11.1,49.2,321249.36750000005,181989.58250000002
W00009704,,oa,231,95,38,27,34,21,7,9,41.1,16.5,11.7,14.7,9.1,323229.453,180708.3775
W00009311,,oa,250,87,39,39,36,23,16,10,34.8,15.6,15.6,14.4,9.2,321776.4595,180155.6165
W00009390,,oa,307,20,14,40,35,174,7,17,6.5,4.6,13.0,11.4,56.7,319619.676,178551.74550000002
W00009433,,oa,446,85,44,45,46,172,10,44,19.1,9.9,10.1,10.3,38.6,319661.998,177328.1725
W00009619,,oa,272,131,48,32,19,21,9,12,48.2,17.6,11.8,7.0,7.7,322405.2485,179967.6825
W00009332,,oa,241,54,42,41,31,52,9,12,22.4,17.4,17.0,12.9,21.6,320354.9865,181339.938
W00009665,,oa,193,85,31,32,13,20,1,11,44.0,16.1,16.6,6.7,10.4,321308.9465,176885.682
W00010207,,oa,212,9,33,39,21,101,6,3,4.2,15.6,18.4,9.9,47.6,323722.476,180311.218
W00009985,,oa,290,62,34,42,36,69,5,42,21.4,11.7,14.5,12.4,23.8,319694.9435,177168.311
W00009338,,oa,231,25,47,37,36,73,6,7,10.8,20.3,16.0,15.6,31.6,320192.4305,181074.489
W00009337,,oa,324,32,46,44,49,135,2,16,9.9,14.2,13.6,15.1,41.7,320631.8245,181291.586
W00009334,,oa,220,77,48,33,15,33,9,5,35.0,21.8,15.0,6.8,15.0,321002.46900000004,181259.59600000002
W00009333,,oa,284,35,26,56,31,109,12,15,12.3,9.2,19.7,10.9,38.4,319941.8075,181394.5095
W00009616,,oa,241,101,39,33,27,24,7,10,41.9,16.2,13.7,11.2,10.0,322654.0855,180140.576
W00009617,,oa,184,72,25,17,18,27,8,17,39.1,13.6,9.2,9.8,14.7,322260.7725,180061.20049999998
W00009693,,oa,284,106,25,30,19,74,12,18,37.3,8.8,10.6,6.7,26.1,323516.83400000003,181026.214
W00009612,,oa,263,69,29,42,44,50,17,12,26.2,11.0,16.0,16.7,19.0,321841.534,178825.6635
W00009691,,oa,410,101,66,58,41,117,5,22,24.6,16.1,14.1,10.0,28.5,323854.302,181281.18349999998
W00009690,,oa,256,121,47,31,16,22,4,15,47.3,18.4,12.1,6.3,8.6,324134.96499999997,181288.852
W00009618,,oa,219,78,36,25,36,29,8,7,35.6,16.4,11.4,16.4,13.2,322690.2155,179924.448
W00009372,,oa,259,46,56,61,33,40,12,11,17.8,21.6,23.6,12.7,15.4,320542.97849999997,181604.679
W00009304,,oa,282,82,42,50,29,49,15,15,29.1,14.9,17.7,10.3,17.4,321209.69649999996,180141.32799999998
W00009404,,oa,215,38,22,20,14,100,9,12,17.7,10.2,9.3,6.5,46.5,319914.2375,177738.758
W00009484,,oa,167,80,22,23,11,23,5,3,47.9,13.2,13.8,6.6,13.8,322651.06799999997,181832.0615
W00009403,,oa,291,22,12,43,53,129,8,24,7.6,4.1,14.8,18.2,44.3,319635.7605,177816.5465
W00009481,,oa,313,72,53,43,26,93,14,12,23.0,16.9,13.7,8.3,29.7,323192.451,181704.4455
W00009401,,oa,276,25,22,29,32,152,6,10,9.1,8.0,10.5,11.6,55.1,319627.47849999997,178043.66700000002
W00009489,,oa,230,21,25,31,22,111,11,9,9.1,10.9,13.5,9.6,48.3,320962.453,182458.5745
W00009666,,oa,131,82,21,7,3,6,5,7,62.6,16.0,5.3,2.3,4.6,321157.57550000004,177113.749
W00009663,,oa,214,90,33,25,16,37,4,9,42.1,15.4,11.7,7.5,17.3,320931.098,176881.058
W00009660,,oa,224,43,27,38,24,80,4,8,19.2,12.1,17.0,10.7,35.7,320376.772,177109.28100000002
W00009492,,oa,174,40,28,33,18,46,3,6,23.0,16.1,19.0,10.3,26.4,321170.5875,182368.90899999999
W00009367,,oa,231,47,39,40,38,54,8,5,20.3,16.9,17.3,16.5,23.4,319830.547,179466.29700000002
W00009397,,oa,292,30,19,29,22,165,11,16,10.3,6.5,9.9,7.5,56.5,319850.87600000005,178200.00699999998
W00009394,,oa,298,35,18,33,32,144,14,22,11.7,6.0,11.1,10.7,48.3,319854.72699999996,178449.7885
W00009393,,oa,206,47,10,20,23,88,4,14,22.8,4.9,9.7,11.2,42.7,319595.472,178418.62300000002
W00009310,,oa,257,100,34,34,32,29,16,12,38.9,13.2,13.2,12.5,11.3,322015.35199999996,180061.699
W00009391,,oa,341,39,23,38,42,168,14,17,11.4,6.7,11.1,12.3,49.3,319995.204,178266.714
W00009319,,oa,192,80,40,26,17,18,3,8,41.7,20.8,13.5,8.9,9.4,322522.1185,181685.723
W00009414,,oa,248,68,33,57,26,35,16,13,27.4,13.3,23.0,10.5,14.1,320359.3515,179156.65399999998
W00009415,,oa,275,50,26,46,22,108,12,11,18.2,9.5,16.7,8.0,39.3,319954.1915,179057.28600000002
W00009490,,oa,357,59,51,63,30,135,8,11,16.5,14.3,17.6,8.4,37.8,320295.295,182863.59999999998
W00009411,,oa,353,27,35,39,44,175,9,24,7.6,9.9,11.0,12.5,49.6,319512.0575,179034
W00008779,,oa,276,98,34,34,33,58,4,15,35.5,12.3,12.3,12.0,21.0,319820.2025,177052.8785
W00009676,,oa,182,67,31,18,13,21,5,27,36.8,17.0,9.9,7.1,11.5,323594.597,178802.36800000002
W00009678,,oa,218,31,51,34,24,66,2,10,14.2,23.4,15.6,11.0,30.3,323591.847,181593.21250000002
W00009475,,oa,265,22,18,17,47,147,2,12,8.3,6.8,6.4,17.7,55.5,319420.70200000005,177690.29200000002
W00009478,,oa,285,38,37,44,28,116,13,9,13.3,13.0,15.4,9.8,40.7,323009.50049999997,182739.3
W00009479,,oa,218,24,20,45,27,76,15,11,11.0,9.2,20.6,12.4,34.9,322231.353,182138.4455
W00009711,,oa,272,32,32,46,39,104,11,8,11.8,11.8,16.9,14.3,38.2,324315.4625,180323.658
W00009190,,oa,261,33,30,30,40,101,13,14,12.6,11.5,11.5,15.3,38.7,313920.9485,179183.387
W00009236,,oa,246,98,44,30,17,27,7,23,39.8,17.9,12.2,6.9,11.0,315885.52150000003,178882.391
W00009215,,oa,248,77,36,44,31,37,10,13,31.0,14.5,17.7,12.5,14.9,315467.346,179262.8005
W00009217,,oa,227,84,27,37,21,30,9,19,37.0,11.9,16.3,9.3,13.2,316221.5255,178912.6225
W00009237,,oa,359,135,49,58,34,52,12,19,37.6,13.6,16.2,9.5,14.5,316485.49399999995,178970.90500000003
W00009733,,oa,245,37,31,40,28,86,14,9,15.1,12.7,16.3,11.4,35.1,316023.961,179429.4915
W00009417,,oa,270,83,35,36,17,57,21,21,30.7,13.0,13.3,6.3,21.1,320230.9005,179034.64299999998
W00008972,,oa,269,49,23,29,32,109,5,22,18.2,8.6,10.8,11.9,40.5,319046.4355,179866.96600000001
W00009366,,oa,268,69,39,40,35,60,17,8,25.7,14.6,14.9,13.1,22.4,320006.734,179525.19199999998
W00009555,,oa,229,40,23,35,21,88,15,7,17.5,10.0,15.3,9.2,38.4,316044.47849999997,182297.588
W00009315,,oa,243,63,38,40,30,55,11,6,25.9,15.6,16.5,12.3,22.6,321196.158,179751.6625
W00009312,,oa,261,86,44,37,24,37,19,14,33.0,16.9,14.2,9.2,14.2,321645.34900000005,179919.6335
W00009287,,oa,243,23,26,34,24,119,10,7,9.5,10.7,14.0,9.9,49.0,318697.2135,182085.19799999997
W00009294,,oa,201,100,33,21,14,25,1,7,49.8,16.4,10.4,7.0,12.4,322103.93799999997,180516.2335
W00009675,,oa,240,107,52,26,22,20,11,2,44.6,21.7,10.8,9.2,8.3,322857.42350000003,180171.3785
W00010169,,oa,346,98,38,59,31,92,8,20,28.3,11.0,17.1,9.0,26.6,320867.426,181611.812
W00009487,,oa,245,32,29,39,38,82,12,13,13.1,11.8,15.9,15.5,33.5,320766.9515,182039.46850000002
W00009086,,oa,307,33,29,23,68,133,4,17,10.7,9.4,7.5,22.1,43.3,317299.47349999996,178847.957
W00009353,,oa,247,89,53,25,24,32,8,16,36.0,21.5,10.1,9.7,13.0,319858.26300000004,180310.3805
W00009604,,oa,217,48,24,48,27,40,12,18,22.1,11.1,22.1,12.4,18.4,321935.198,179120.2145
W00009150,,oa,291,46,26,32,38,131,8,10,15.8,8.9,11.0,13.1,45.0,317012.6135,179766.878
W00009757,,oa,225,55,24,24,24,84,6,8,24.4,10.7,10.7,10.7,37.3,314791.15449999995,180209.064
W00009313,,oa,187,61,28,20,17,41,7,13,32.6,15.0,10.7,9.1,21.9,321468.9895,179732.98700000002
W00009227,,oa,229,45,27,31,25,81,11,9,19.7,11.8,13.5,10.9,35.4,314946.8025,179346.655
W00009225,,oa,267,60,29,41,21,91,16,9,22.5,10.9,15.4,7.9,34.1,314407.75,179639.6555
W00009220,,oa,233,82,44,43,15,33,12,4,35.2,18.9,18.5,6.4,14.2,315581.566,178890.7955
W00009410,,oa,251,23,22,26,20,142,8,10,9.2,8.8,10.4,8.0,56.6,319096.05,179179.3985
W00009734,,oa,224,65,23,24,26,62,21,3,29.0,10.3,10.7,11.6,27.7,315507.858,179417.038
W00008975,,oa,215,11,15,26,34,125,2,2,5.1,7.0,12.1,15.8,58.1,318341.9895,179620.9595
W00009620,,oa,223,90,32,31,23,27,7,13,40.4,14.3,13.9,10.3,12.1,322102.78150000004,179805.54200000002
W00009084,,oa,269,40,15,30,38,128,5,13,14.9,5.6,11.2,14.1,47.6,317078.571,178948.29200000002
W00009085,,oa,353,42,29,29,74,161,8,10,11.9,8.2,8.2,21.0,45.6,317397.663,178948.418
W00009602,,oa,234,69,25,27,24,61,13,15,29.5,10.7,11.5,10.3,26.1,321528.72,179312.925
W00009603,,oa,264,113,41,35,21,27,9,18,42.8,15.5,13.3,8.0,10.2,322123.18799999997,179269.71850000002
W00009601,,oa,248,74,44,51,31,38,3,7,29.8,17.7,20.6,12.5,15.3,321874.9815,179385.83
W00009512,,oa,325,36,15,46,23,192,2,11,11.1,4.6,14.2,7.1,59.1,313333.9355,180287.519
W00009748,,oa,192,41,14,23,9,88,11,6,21.4,7.3,12.0,4.7,45.8,314886.065,180581.827
W00009152,,oa,289,37,25,46,36,118,17,10,12.8,8.7,15.9,12.5,40.8,317066.6755,179389.47999999998
W00009746,,oa,280,46,17,29,35,140,8,5,16.4,6.1,10.4,12.5,50.0,315096.591,180775.44150000002
W00009525,,oa,261,28,18,50,22,128,4,11,10.7,6.9,19.2,8.4,49.0,314949.35699999996,181992.934
W00009261,,oa,308,62,42,36,31,116,12,9,20.1,13.6,11.7,10.1,37.7,317929.598,180811.8605
W00009254,,oa,263,64,41,34,18,85,7,14,24.3,15.6,12.9,6.8,32.3,317645.2175,181713.38400000002
W00009416,,oa,283,30,24,33,28,149,8,11,10.6,8.5,11.7,9.9,52.7,318938.45149999997,178910.388
W00008949,,oa,262,24,16,39,25,147,3,8,9.2,6.1,14.9,9.5,56.1,319187.792,181416.3365
W00009232,,oa,291,75,49,50,32,63,10,12,25.8,16.8,17.2,11.0,21.6,316163.3375,179099.412
W00009542,,oa,201,20,9,27,17,117,2,9,10.0,4.5,13.4,8.5,58.2,315658.5245,181151.58899999998
W00009532,,oa,265,62,34,39,27,86,13,4,23.4,12.8,14.7,10.2,32.5,315818.976,181703.6555
W00009530,,oa,243,34,30,44,29,94,8,4,14.0,12.3,18.1,11.9,38.7,314841.79850000003,181707.37050000002
W00009163,,oa,246,16,28,36,18,138,6,4,6.5,11.4,14.6,7.3,56.1,317585.7895,180511.27649999998
W00009507,,oa,275,18,21,53,32,133,11,7,6.5,7.6,19.3,11.6,48.4,312544.78500000003,180926.303
W00009509,,oa,260,23,23,46,30,118,8,12,8.8,8.8,17.7,11.5,45.4,311920.32550000004,181013.9095
W00009767,,oa,258,24,14,33,33,143,7,4,9.3,5.4,12.8,12.8,55.4,314690.941,179790.1615
W00010128,,oa,774,22,14,89,517,99,3,30,2.8,1.8,11.5,66.8,12.8,319260.9915,179066.6665
W00009171,,oa,406,51,34,61,36,194,15,15,12.6,8.4,15.0,8.9,47.8,316501.704,180417.01650000003
W00009516,,oa,346,8,32,46,35,208,9,8,2.3,9.2,13.3,10.1,60.1,312023.4105,181460.03850000002
W00009644,,oa,182,65,21,16,16,46,4,14,35.7,11.5,8.8,8.8,25.3,319614.5795,176384.414
W00009599,,oa,235,35,30,23,23,91,5,28,14.9,12.8,9.8,9.8,38.7,317561.9675,176487.4805
W00010201,,oa,206,10,9,10,25,139,1,12,4.9,4.4,4.9,12.1,67.5,318747.40650000004,174831.487
W00005834,,oa,199,43,31,39,24,51,3,8,21.6,15.6,19.6,12.1,25.6,316930.217,173226.2265
W00009560,,oa,360,91,48,31,43,92,6,49,25.3,13.3,8.6,11.9,25.6,317368.4805,176351.94150000002
W00009577,,oa,226,19,8,17,16,152,6,8,8.4,3.5,7.5,7.1,67.3,316824.60750000004,177366.2095
W00010204,,oa,208,3,12,28,32,124,2,7,1.4,5.8,13.5,15.4,59.6,318674.313,174838.92200000002
W00009292,,oa,302,79,21,37,24,115,9,17,26.2,7.0,12.3,7.9,38.1,318053.4255,182042.44199999998
W00009291,,oa,208,105,31,21,9,30,4,8,50.5,14.9,10.1,4.3,14.4,317469.57149999996,182017.7145
W00009256,,oa,259,36,28,42,33,98,9,13,13.9,10.8,16.2,12.7,37.8,318213.9915,181472.7125
W00009075,,oa,329,16,7,24,103,163,5,11,4.9,2.1,7.3,31.3,49.5,317422.759,178650.1655
W00010190,,oa,235,27,15,35,24,113,6,15,11.5,6.4,14.9,10.2,48.1,316993.3625,180626.75449999998
W00009125,,oa,255,77,37,30,18,68,5,20,30.2,14.5,11.8,7.1,26.7,317352.2955,175643.93050000002
W00009246,,oa,289,48,44,46,25,108,5,13,16.6,15.2,15.9,8.7,37.4,317330.0675,182998.8175
W00009146,,oa,299,36,23,43,27,154,7,9,12.0,7.7,14.4,9.0,51.5,317757.3015,179848.4075
W00009149,,oa,294,38,24,39,30,129,18,16,12.9,8.2,13.3,10.2,43.9,317077.177,179856.188
W00008980,,oa,239,40,21,27,18,112,12,9,16.7,8.8,11.3,7.5,46.9,319177.9925,181952.4075
W00009241,,oa,327,115,59,51,41,37,12,12,35.2,18.0,15.6,12.5,11.3,317491.978,181022.50699999998
W00009242,,oa,239,16,27,39,29,114,9,5,6.7,11.3,16.3,12.1,47.7,317013.251,183488.522
W00009437,,oa,485,19,29,34,187,187,3,26,3.9,6.0,7.0,38.6,38.6,318787.445,177251.71000000002
W00009431,,oa,209,32,9,20,46,86,4,12,15.3,4.3,9.6,22.0,41.1,319127.426,177548.99550000002
W00009111,,oa,268,64,29,45,31,73,10,16,23.9,10.8,16.8,11.6,27.2,318146.36100000003,174804.4225
W00010145,,oa,158,4,10,16,24,94,3,7,2.5,6.3,10.1,15.2,59.5,318086.105,173046.0235
W00008781,,oa,372,79,36,45,52,122,5,33,21.2,9.7,12.1,14.0,32.8,319565.704,176942.5165
W00009697,,oa,220,86,52,39,10,22,3,8,39.1,23.6,17.7,4.5,10.0,323833.8075,181008.1055
W00009700,,oa,217,86,37,38,12,25,7,12,39.6,17.1,17.5,5.5,11.5,323859.5175,180822.33000000002
W00010174,,oa,201,24,21,35,20,80,10,11,11.9,10.4,17.4,10.0,39.8,321665.2,182140.5945
W00009296,,oa,218,103,36,26,17,20,8,8,47.2,16.5,11.9,7.8,9.2,322164.6615,181049.67349999998
W00009297,,oa,262,122,38,38,29,24,2,9,46.6,14.5,14.5,11.1,9.2,321888.5,180954.887
W00009293,,oa,289,88,47,55,22,52,10,15,30.4,16.3,19.0,7.6,18.0,321671.912,181024.6805
W00009326,,oa,204,85,35,30,24,17,7,6,41.7,17.2,14.7,11.8,8.3,322221.613,181275.8805
W00009329,,oa,274,109,55,37,27,30,8,8,39.8,20.1,13.5,9.9,10.9,322408.9445,181038.3135
W00008602,,oa,272,47,28,47,31,97,14,8,17.3,10.3,17.3,11.4,35.7,325869.9575,183019.33049999998
W00010136,,oa,226,54,32,36,26,66,4,8,23.9,14.2,15.9,11.5,29.2,320789.32649999997,182184.006
W00009482,,oa,272,62,31,42,28,81,8,20,22.8,11.4,15.4,10.3,29.8,323043.49549999996,181848.52850000001
W00009480,,oa,206,38,34,39,32,42,13,8,18.4,16.5,18.9,15.5,20.4,322759.824,181766.20500000002
W00009488,,oa,305,47,34,51,31,122,12,8,15.4,11.1,16.7,10.2,40.0,320750.19700000004,182454.8115
W00009497,,oa,326,40,38,54,40,135,12,7,12.3,11.7,16.6,12.3,41.4,320570.615,182091.183
W00009493,,oa,239,19,26,31,25,107,10,21,7.9,10.9,13.0,10.5,44.8,321604.89650000003,182334.516
W00009502,,oa,281,15,23,39,23,155,3,23,5.3,8.2,13.9,8.2,55.2,321415.4495,182493.7165
W00009680,,oa,232,84,39,42,17,29,4,17,36.2,16.8,18.1,7.3,12.5,324000.5045,181401.913
W00009684,,oa,235,49,45,25,25,66,7,18,20.9,19.1,10.6,10.6,28.1,323919.8155,181678.6315
W00009689,,oa,197,51,28,24,25,51,10,8,25.9,14.2,12.2,12.7,25.9,324177.391,181514.5375
W00009327,,oa,231,120,29,32,13,19,6,12,51.9,12.6,13.9,5.6,8.2,321965.71849999996,181259.9645
W00009322,,oa,251,95,49,48,20,25,6,8,37.8,19.5,19.1,8.0,10.0,322089.2655,181451.2095
W00009323,,oa,233,96,40,45,16,20,7,9,41.2,17.2,19.3,6.9,8.6,321696.9535,181393.00699999998
W00009339,,oa,215,80,54,38,15,19,2,7,37.2,25.1,17.7,7.0,8.8,320560,181077
W00009143,,oa,235,38,28,28,24,101,8,8,16.2,11.9,11.9,10.2,43.0,317235.5,179862.5
W00009744,,oa,220,81,30,32,15,43,7,12,36.8,13.6,14.5,6.8,19.5,314307.5325,180875.7625
W00009501,,oa,284,26,30,37,29,149,7,6,9.2,10.6,13.0,10.2,52.5,321241.35250000004,183544.7765
W00010189,,oa,168,9,13,15,14,103,5,9,5.4,7.7,8.9,8.3,61.3,321483.347,181979.1825
W00010218,,oa,160,28,21,31,32,38,5,5,17.5,13.1,19.4,20.0,23.8,316801.3145,180448.8025
W00009317,,oa,238,104,46,26,18,24,10,10,43.7,19.3,10.9,7.6,10.1,322235.659,181770.375
W00009683,,oa,260,44,40,43,37,78,8,10,16.9,15.4,16.5,14.2,30.0,323778.2785,181833.6355
W00010156,,oa,168,9,8,23,28,89,5,6,5.4,4.8,13.7,16.7,53.0,321003.18200000003,182056.289
W00009142,,oa,185,51,18,28,21,50,6,11,27.6,9.7,15.1,11.4,27.0,316589.13950000005,180092.4005
W00009743,,oa,251,50,43,29,33,78,11,7,19.9,17.1,11.6,13.1,31.1,314951.593,181098.06199999998
W00009157,,oa,364,60,33,52,49,136,16,18,16.5,9.1,14.3,13.5,37.4,317083.5925,180740.23849999998
W00009302,,oa,282,92,53,42,33,41,10,11,32.6,18.8,14.9,11.7,14.5,321270.5455,180555.63549999997
W00009303,,oa,222,65,41,34,25,45,3,9,29.3,18.5,15.3,11.3,20.3,321789.7875,180450.646
W00009308,,oa,191,89,31,26,19,10,10,6,46.6,16.2,13.6,9.9,5.2,322119.554,180359.19
W00009255,,oa,250,81,53,42,18,40,9,7,32.4,21.2,16.8,7.2,16.0,316887.321,181903.1235
W00009250,,oa,237,59,42,35,20,67,7,7,24.9,17.7,14.8,8.4,28.3,317281.949,181811.12699999998
W00009251,,oa,247,20,24,41,23,120,10,9,8.1,9.7,16.6,9.3,48.6,318479.0695,181692.2005
W00009496,,oa,268,19,37,40,24,138,5,5,7.1,13.8,14.9,9.0,51.5,321421.294,182142.0415
W00009495,,oa,246,15,32,46,36,105,5,7,6.1,13.0,18.7,14.6,42.7,320989.38049999997,182347.4925
W00009494,,oa,361,44,53,52,39,161,8,4,12.2,14.7,14.4,10.8,44.6,320349.6865,182239.291
W00009491,,oa,354,19,36,52,46,169,13,19,5.4,10.2,14.7,13.0,47.7,320968,182547.9835
W00009547,,oa,221,33,20,31,27,90,10,10,14.9,9.0,14.0,12.2,40.7,316259.3835,181029.633
W00009180,,oa,255,21,27,35,31,129,4,8,8.2,10.6,13.7,12.2,50.6,318742.4985,182451.4535
W00009368,,oa,245,26,30,39,32,90,12,16,10.6,12.2,15.9,13.1,36.7,319873.051,181856.955
W00009283,,oa,258,32,45,35,30,83,19,14,12.4,17.4,13.6,11.6,32.2,316669.4705,182347.6995
W00009551,,oa,209,44,19,38,19,70,9,10,21.1,9.1,18.2,9.1,33.5,315829.83499999996,180712.3645
W00009702,,oa,266,92,56,35,25,38,9,11,34.6,21.1,13.2,9.4,14.3,323362.5,180545.509
W00009524,,oa,236,47,18,39,22,89,10,11,19.9,7.6,16.5,9.3,37.7,316494.4005,181790.793
W00009710,,oa,267,85,39,41,42,24,18,18,31.8,14.6,15.4,15.7,9.0,323165.745,180512.481
W00008953,,oa,251,21,9,26,23,163,4,5,8.4,3.6,10.4,9.2,64.9,318966.49450000003,181043.2775
W00009538,,oa,188,46,18,20,26,63,8,7,24.5,9.6,10.6,13.8,33.5,315198.0115,181027.164
W00009354,,oa,251,80,47,43,20,38,7,16,31.9,18.7,17.1,8.0,15.1,320269.4395,180134.734
W00009359,,oa,205,69,46,34,11,28,8,9,33.7,22.4,16.6,5.4,13.7,319950.593,180239.715
W00009175,,oa,291,26,19,58,31,142,11,4,8.9,6.5,19.9,10.7,48.8,317556.15249999997,184253.077
W00009274,,oa,266,32,20,39,30,126,13,6,12.0,7.5,14.7,11.3,47.4,317133.65249999997,182711.9345
W00009270,,oa,239,24,20,36,28,115,10,6,10.0,8.4,15.1,11.7,48.1,316778.206,182991.948
W00009518,,oa,215,43,16,28,23,94,4,7,20.0,7.4,13.0,10.7,43.7,316338.6425,180850.8615
W00008819,,oa,208,94,43,34,12,16,2,7,45.2,20.7,16.3,5.8,7.7,313448.515,175078.3515
W00008838,,oa,210,88,41,34,22,11,5,9,41.9,19.5,16.2,10.5,5.2,313618.641,175688.674
W00008833,,oa,327,133,58,51,30,35,9,11,40.7,17.7,15.6,9.2,10.7,313872.6415,176145.612
W00009056,,oa,263,70,35,45,25,63,17,8,26.6,13.3,17.1,9.5,24.0,313704.5455,177097.237
W00009051,,oa,277,67,31,44,36,73,18,8,24.2,11.2,15.9,13.0,26.4,313779.10750000004,177313.265
W00009035,,oa,278,60,49,42,30,74,14,9,21.6,17.6,15.1,10.8,26.6,313561.6435,177409.1225
W00008861,,oa,313,93,53,52,27,58,19,11,29.7,16.9,16.6,8.6,18.5,316125.66949999996,176118.1125
W00009045,,oa,245,83,45,41,24,36,9,7,33.9,18.4,16.7,9.8,14.7,313746.92000000004,177597.965
W00009032,,oa,198,76,39,32,17,18,5,11,38.4,19.7,16.2,8.6,9.1,313269.5,177946.02250000002
W00009031,,oa,256,80,37,55,28,35,7,14,31.3,14.5,21.5,10.9,13.7,313817.299,178049
W00009030,,oa,254,63,34,39,35,56,11,16,24.8,13.4,15.4,13.8,22.0,314137.01450000005,178315.241
W00009446,,oa,382,23,10,21,155,140,1,32,6.0,2.6,5.5,40.6,36.6,318833.68850000005,177087.61800000002
W00009721,,oa,223,67,28,38,22,37,16,15,30.0,12.6,17.0,9.9,16.6,314100.007,181944.215
W00009009,,oa,244,118,37,30,23,17,6,13,48.4,15.2,12.3,9.4,7.0,313684.9745,176302.15350000001
W00008847,,oa,248,112,43,36,19,16,6,16,45.2,17.3,14.5,7.7,6.5,313781.248,175392.7715
W00008831,,oa,315,90,53,60,32,39,15,26,28.6,16.8,19.0,10.2,12.4,314327.914,176310.7135
W00008830,,oa,257,86,42,52,23,32,8,14,33.5,16.3,20.2,8.9,12.5,314478.52,176629.424
W00009052,,oa,203,90,19,33,14,27,6,14,44.3,9.4,16.3,6.9,13.3,314432,177274.78999999998
W00008881,,oa,249,50,21,29,17,116,3,13,20.1,8.4,11.6,6.8,46.6,316621.81,176217.44650000002
W00008890,,oa,231,37,13,30,24,102,14,11,16.0,5.6,13.0,10.4,44.2,315264.194,177100.826
W00009196,,oa,252,36,26,46,21,107,8,8,14.3,10.3,18.3,8.3,42.5,314631.53099999996,177737.8805
W00009042,,oa,232,92,25,29,21,54,4,7,39.7,10.8,12.5,9.1,23.3,314261.322,177840.1335
W00009187,,oa,214,28,15,25,23,109,6,8,13.1,7.0,11.7,10.7,50.9,315460.425,177665.5125
W00009219,,oa,244,71,22,32,28,79,8,4,29.1,9.0,13.1,11.5,32.4,315257.0905,178770.9665
W00009216,,oa,255,48,22,39,32,92,11,11,18.8,8.6,15.3,12.5,36.1,314846.7465,179034.2425
W00009228,,oa,232,46,24,30,19,90,12,11,19.8,10.3,12.9,8.2,38.8,314486.2705,179290.8945
W00009138,,oa,282,32,18,55,28,127,10,12,11.3,6.4,19.5,9.9,45.0,317442.204,180362.0125
W00008865,,oa,221,61,23,29,17,73,8,10,27.6,10.4,13.1,7.7,33.0,315864.754,176776.0415
W00009536,,oa,224,35,33,35,18,90,7,6,15.6,14.7,15.6,8.0,40.2,315827.94550000003,181475.577
W00009588,,oa,294,84,36,27,23,105,8,11,28.6,12.2,9.2,7.8,35.7,317279.50800000003,176539.747
W00010134,,oa,226,8,22,21,25,137,0,13,3.5,9.7,9.3,11.1,60.6,321071.977,178088.6005
W00010230,,oa,163,4,7,17,24,103,1,7,2.5,4.3,10.4,14.7,63.2,318443.753,175074.728
W00008913,,oa,443,7,28,24,300,59,0,25,1.6,6.3,5.4,67.7,13.3,318411.985,177295.14250000002
W00010153,,oa,144,10,10,6,24,84,2,8,6.9,6.9,4.2,16.7,58.3,318498.85699999996,176254.73599999998
W00009330,,oa,293,111,59,38,23,35,7,20,37.9,20.1,13.0,7.8,11.9,320893.16599999997,180476.91499999998
