area_code,area_name,census_geography,all_qualifications,no_qualifications,level1,level2,level3,level4,apprenticeship,other,no_qualifications_perc,level1_perc,level2_perc,level3_perc,level4_perc,centroid_x,centroid_y
W00009160,,oa,254,23,34,38,34,114,6,5,9.1,13.4,15.0,13.4,44.9,317770.12,180564.54499999998
W00008924,,oa,463,35,28,37,195,135,4,29,7.6,6.0,8.0,42.1,29.2,318227.91099999996,178183.177
W00008929,,oa,342,29,20,19,154,104,3,13,8.5,5.8,5.6,45.0,30.4,318173.174,178099.059
W00009356,,oa,311,62,56,63,34,67,18,11,19.9,18.0,20.3,10.9,21.5,319574.659,180154.6255
W00009455,,oa,177,59,14,16,28,44,4,12,33.3,7.9,9.0,15.8,24.9,318581.8165,178077.2735
W00009450,,oa,208,114,10,22,6,37,7,12,54.8,4.8,10.6,2.9,17.8,319235.77150000003,176953
W00008785,,oa,307,79,40,30,29,89,7,33,25.7,13.0,9.8,9.4,29.0,319691.228,176809.391
W00008789,,oa,244,84,31,23,25,52,5,24,34.4,12.7,9.4,10.2,21.3,319482.13899999997,176598.0275
W00009606,,oa,256,49,48,46,36,51,15,11,19.1,18.8,18.0,14.1,19.9,321215.6925,179093.91950000002
W00010129,,oa,140,4,12,16,10,90,1,7,2.9,8.6,11.4,7.1,64.3,319229.757,175491.691
W00008932,,oa,499,28,22,36,308,90,3,12,5.6,4.4,7.2,61.7,18.0,318142.033,177940.1325
W00009093,,oa,313,17,29,23,24,202,2,16,5.4,9.3,7.3,7.7,64.5,318051.224,173612.9965
W00009098,,oa,287,90,35,34,19,72,7,30,31.4,12.2,11.8,6.6,25.1,317847.2745,175203.9425
W00009427,,oa,268,53,14,39,37,104,8,13,19.8,5.2,14.6,13.8,38.8,319767.9115,177610.9205
W00009424,,oa,376,37,16,33,144,121,3,22,9.8,4.3,8.8,38.3,32.2,318905.2555,177285.9235
W00009422,,oa,258,40,20,36,19,119,5,19,15.5,7.8,14.0,7.4,46.1,319912.212,178582.8505
W00009420,,oa,290,40,36,46,36,115,7,10,13.8,12.4,15.9,12.4,39.7,320457.19649999996,178948.84975
W00009421,,oa,250,53,20,40,26,93,4,14,21.2,8.0,16.0,10.4,37.2,319347.8135,178687.4925
W00008797,,oa,272,68,17,30,21,113,3,20,25.0,6.3,11.0,7.7,41.5,320497.96349999995,177617.451
W00008791,,oa,185,77,21,14,16,33,3,21,41.6,11.4,7.6,8.6,17.8,319587.2295,176478.22149999999
W00009569,,oa,230,75,32,27,16,63,1,16,32.6,13.9,11.7,7.0,27.4,317088.79949999996,176181.4745
