area_code,area_name,census_geography,rooms_all,rooms_2_plus,rooms_1_plus,rooms_0,rooms_1_minus,rooms_2_minus,rooms_2_plus_perc,rooms_1_plus_perc,rooms_0_perc,rooms_1_minus_perc,rooms_2_minus_perc,centroid_x,centroid_y
W01001788,Cardiff 023D,lsoa,608,269,186,109,33,11,44.2,30.6,17.9,5.4,1.8,316065.8039755076,178574.56730447107
W01001787,Cardiff 023C,lsoa,556,244,159,106,33,14,43.9,28.6,19.1,5.9,2.5,316404.2883713633,178983.53799257995
W01001658,Newport 020D,lsoa,697,526,102,49,16,4,75.5,14.6,7.0,2.3,0.6,326533.4556828396,182260.35567539692
W01001808,Cardiff 007C,lsoa,638,241,172,182,33,10,37.8,27.0,28.5,5.2,1.6,321972.16743152123,181453.1882794492
W01001241,Rhondda Cynon Taf 026D,lsoa,756,420,183,112,30,11,55.6,24.2,14.8,4.0,1.5,312724.9213323827,183568.6413201884
W01001798,Cardiff 002D,lsoa,624,368,148,80,20,8,59.0,23.7,12.8,3.2,1.3,316732.80973315146,182576.8974918238
W01001851,Cardiff 012D,lsoa,697,431,151,95,18,2,61.8,21.7,13.6,2.6,0.3,315557.6746175932,181025.6780495372
W01001854,Cardiff 004D,lsoa,834,437,316,71,8,2,52.4,37.9,8.5,1.0,0.2,316109.80670907727,181807.84630464492
W01001887,Cardiff 020A,lsoa,613,504,65,34,9,1,82.2,10.6,5.5,1.5,0.2,314977.8282943473,180017.57332257813
W01001888,Cardiff 010A,lsoa,694,438,167,72,16,1,63.1,24.1,10.4,2.3,0.1,314135.600253507,180195.4149934938
W01001890,Cardiff 021D,lsoa,608,398,129,62,17,2,65.5,21.2,10.2,2.8,0.3,316483.66176333436,179638.56904295104
W01001891,Cardiff 020C,lsoa,762,415,193,109,39,6,54.5,25.3,14.3,5.1,0.8,315410.9817886886,179715.59161292328
W01001892,Cardiff 020D,lsoa,599,502,70,23,4,0,83.8,11.7,3.8,0.7,0.0,316107.24095778906,179415.75095764425
W01001893,Cardiff 010B,lsoa,793,447,184,123,34,5,56.4,23.2,15.5,4.3,0.6,313783.2225323797,182961.56831210348
W01001948,Cardiff 006E,lsoa,637,444,89,69,31,4,69.7,14.0,10.8,4.9,0.6,312756.6307454484,180156.8968415484
W01001953,Cardiff 005G,lsoa,643,367,94,110,59,13,57.1,14.6,17.1,9.2,2.0,316858.6410710665,181727.40124843208
W01001773,Cardiff 012A,lsoa,991,602,185,137,53,14,60.7,18.7,13.8,5.3,1.4,316652.56745037227,180444.1868416113
W01001776,Cardiff 021C,lsoa,515,413,64,29,8,1,80.2,12.4,5.6,1.6,0.2,317117.4798952975,179486.9645164268
W01001949,Cardiff 005F,lsoa,635,167,136,146,175,11,26.3,21.4,23.0,27.6,1.7,316895.9772853537,181213.63481104947
W01001770,Cardiff 018B,lsoa,476,294,82,86,9,5,61.8,17.2,18.1,1.9,1.1,317842.7818681769,179648.87513925027
W01001772,Cardiff 021A,lsoa,603,459,99,37,7,1,76.1,16.4,6.1,1.2,0.2,316152.2808048271,180194.86721146267
W01001789,Cardiff 023E,lsoa,730,392,165,127,38,8,53.7,22.6,17.4,5.2,1.1,314522.84070591454,179376.87057134602
W01001792,Cardiff 005B,lsoa,705,367,136,163,31,8,52.1,19.3,23.1,4.4,1.1,317586.08927225583,181060.5024423225
W01001794,Cardiff 001C,lsoa,626,310,197,92,22,5,49.5,31.5,14.7,3.5,0.8,317712.5339723969,183125.13116749187
W01001795,Cardiff 002B,lsoa,644,396,181,57,6,4,61.5,28.1,8.9,0.9,0.6,316892.93875464424,183112.1987646707
W01001796,Cardiff 002C,lsoa,653,380,168,88,11,6,58.2,25.7,13.5,1.7,0.9,317209.97601355927,182840.9703306879
W01001797,Cardiff 005C,lsoa,607,438,91,59,18,1,72.2,15.0,9.7,3.0,0.2,317582.2117757669,182370.85211540625
W01001809,Cardiff 017A,lsoa,538,305,99,99,26,9,56.7,18.4,18.4,4.8,1.7,319681.907778889,180326.85262021105
W01001810,Cardiff 017B,lsoa,635,315,163,108,40,9,49.6,25.7,17.0,6.3,1.4,320191.3922935975,180489.89836612207
W01001813,Cardiff 017D,lsoa,698,272,138,229,45,14,39.0,19.8,32.8,6.4,2.0,320072.321371389,180013.54439909806
W01001814,Cardiff 017E,lsoa,672,290,155,179,41,7,43.2,23.1,26.6,6.1,1.0,320046.6103454035,179549.89615646677
W01001815,Cardiff 008D,lsoa,511,367,92,34,16,2,71.8,18.0,6.7,3.1,0.4,320011.4578494053,181584.97682839242
W01001819,Cardiff 014D,lsoa,912,720,84,87,18,3,78.9,9.2,9.5,2.0,0.3,309961.1694630933,182346.64748400394
W01001820,Cardiff 006A,lsoa,508,334,94,65,12,3,65.7,18.5,12.8,2.4,0.6,311693.2517174133,183218.34034321114
W01001896,Cardiff 020E,lsoa,628,439,116,60,12,1,69.9,18.5,9.6,1.9,0.2,315249.6479761583,180480.3603847506
W01001840,Cardiff 007D,lsoa,755,452,171,96,30,6,59.9,22.6,12.7,4.0,0.8,323119.8482272534,181509.22298488198
W01001802,Cardiff 007A,lsoa,684,377,138,137,24,8,55.1,20.2,20.0,3.5,1.2,322574.5956320743,181168.9613219585
W01001879,Cardiff 013A,lsoa,817,229,248,268,58,14,28.0,30.4,32.8,7.1,1.7,323637.80557883694,180858.03620307395
W01001880,Cardiff 013B,lsoa,573,152,200,165,39,17,26.5,34.9,28.8,6.8,3.0,324169.1784868598,180957.53225814574
W01001113,The Vale of Glamorgan 003A,lsoa,913,774,91,43,5,0,84.8,10.0,4.7,0.5,0.0,306236.8773483947,177117.80209097796
W01001135,The Vale of Glamorgan 003C,lsoa,600,527,53,15,4,1,87.8,8.8,2.5,0.7,0.2,309437.28714040015,172288.8320071897
W01001240,Rhondda Cynon Taf 026C,lsoa,845,458,228,120,33,6,54.2,27.0,14.2,3.9,0.7,312664.80712559214,184979.70168993747
